"School Year","Division Number","Division Name","School Number","School Name","English Learners include Former ELs","Grade PK","Grade KG","Grade 1","Grade 2","Grade 3","Grade 4","Grade 5","Grade 6","Grade 7","Grade 8","Grade 9","Grade 10","Grade 11","Grade 12","Full Time Count (All Grades)","Part Time Count (All Grades)","Total Count"
"2010-2011","2","Albemarle County","942","Joseph T. Henley Middle","Y"," "," "," "," "," "," "," ","<","<","12"," "," "," "," ","21"," ","21"
"2010-2011","2","Albemarle County","20","Leslie H. Walton Middle","N"," "," "," "," "," "," "," ","145","133","115"," "," "," "," ","393","<","395"
"2010-2011","2","Albemarle County","20","Leslie H. Walton Middle","Y"," "," "," "," "," "," "," ","<","<","<"," "," "," "," ","<"," ","<"
"2010-2011","2","Albemarle County","40","Mary Carr Greer Elementary","N","32","50","51","50","51","53","47"," "," "," "," "," "," "," ","334"," ","334"
"2010-2011","2","Albemarle County","40","Mary Carr Greer Elementary","Y"," ","30","26","20","21","15","33"," "," "," "," "," "," "," ","145"," ","145"
"2010-2011","2","Albemarle County","250","Meriwether Lewis Elementary","N"," ","76","63","62","69","70","84"," "," "," "," "," "," "," ","424"," ","424"
"2010-2011","2","Albemarle County","250","Meriwether Lewis Elementary","Y"," ","<","<","<","<","<"," "," "," "," "," "," "," "," ","<"," ","<"
"2010-2011","2","Albemarle County","1052","Monticello High","N"," "," "," "," "," "," "," "," "," "," ","273","258","309","275","1,115","<","1,116"
"2010-2011","2","Albemarle County","1052","Monticello High","Y"," "," "," "," "," "," "," "," "," "," ","15","14","<","17","55"," ","55"
"2010-2011","2","Albemarle County","1051","Mortimer Y. Sutherland Middle","N"," "," "," "," "," "," "," ","199","190","191"," "," "," "," ","580","<","581"
"2010-2011","2","Albemarle County","1051","Mortimer Y. Sutherland Middle","Y"," "," "," "," "," "," "," ","<","<","12"," "," "," "," ","25"," ","25"
"2010-2011","2","Albemarle County","890","Murray High","N"," "," "," "," "," "," "," "," "," "," ","19","29","37","19","104"," ","104"
"2010-2011","2","Albemarle County","890","Murray High","Y"," "," "," "," "," "," "," "," "," "," "," "," "," ","<","<"," ","<"
"2010-2011","2","Albemarle County","150","Paul H. Cale Elementary","N","22","76","73","60","68","81","57"," "," "," "," "," "," "," ","437"," ","437"
"2010-2011","2","Albemarle County","150","Paul H. Cale Elementary","Y"," ","28","31","30","16","16","16"," "," "," "," "," "," "," ","137"," ","137"
"2010-2011","2","Albemarle County","540","Red Hill Elementary","N","16","24","27","17","31","32","19"," "," "," "," "," "," "," ","166"," ","166"
"2010-2011","2","Albemarle County","540","Red Hill Elementary","Y"," ","<","<"," ","<","<","<"," "," "," "," "," "," "," ","<"," ","<"
"2010-2011","2","Albemarle County","30","Scottsville Elementary","N","17","41","24","23","45","32","25"," "," "," "," "," "," "," ","207"," ","207"
"2010-2011","2","Albemarle County","30","Scottsville Elementary","Y"," "," ","<"," "," "," "," "," "," "," "," "," "," "," ","<"," ","<"
"2010-2011","2","Albemarle County","920","Stone Robinson Elementary","N","23","73","61","71","84","74","83"," "," "," "," "," "," "," ","469"," ","469"
"2010-2011","2","Albemarle County","920","Stone Robinson Elementary","Y"," ","<","<","<","<","<","<"," "," "," "," "," "," "," ","13"," ","13"
"2010-2011","2","Albemarle County","240","Stony Point Elementary","N","16","51","42","51","38","50","54"," "," "," "," "," "," "," ","302"," ","302"
"2010-2011","2","Albemarle County","240","Stony Point Elementary","Y"," ","<","<","<","<","<","<"," "," "," "," "," "," "," ","21"," ","21"
"2010-2011","2","Albemarle County","910","Virginia L. Murray Elementary","N","<","33","41","41","48","37","45"," "," "," "," "," "," "," ","250"," ","250"
"2010-2011","2","Albemarle County","910","Virginia L. Murray Elementary","Y"," ","<"," ","<","<","<","<"," "," "," "," "," "," "," ","22"," ","22"
"2010-2011","2","Albemarle County","140","Western Albemarle High","N"," "," "," "," "," "," "," "," "," "," ","263","295","254","237","1,049","<","1,050"
"2010-2011","2","Albemarle County","140","Western Albemarle High","Y"," "," "," "," "," "," "," "," "," "," ","<","<","<","<","11"," ","11"
"2010-2011","2","Albemarle County","930","Woodbrook Elementary","N","25","40","46","43","41","35","41"," "," "," "," "," "," "," ","271"," ","271"
"2010-2011","2","Albemarle County","930","Woodbrook Elementary","Y"," ","10","<","<","<","<","<"," "," "," "," "," "," "," ","47"," ","47"
"2010-2011","101","Alexandria City","120","Charles Barrett Elementary","N"," ","53","50","46","38","38","38"," "," "," "," "," "," "," ","263"," ","263"
"2010-2011","101","Alexandria City","120","Charles Barrett Elementary","Y"," ","14","10","12","<","<","<"," "," "," "," "," "," "," ","56"," ","56"
"2010-2011","101","Alexandria City","160","Cora Kelly Magnet Elementary","N"," ","43","34","36","33","29","30"," "," "," "," "," "," "," ","205"," ","205"
"2010-2011","101","Alexandria City","160","Cora Kelly Magnet Elementary","Y"," ","35","14","41","33","21","22"," "," "," "," "," "," "," ","166"," ","166"
"2010-2011","101","Alexandria City","110","Douglas Macarthur Elementary","N"," ","104","102","95","87","86","70"," "," "," "," "," "," "," ","544"," ","544"
"2010-2011","101","Alexandria City","110","Douglas Macarthur Elementary","Y"," ","14","<","18","14","<","15"," "," "," "," "," "," "," ","78"," ","78"
"2010-2011","101","Alexandria City","170","Francis C. Hammond Middle","N"," "," "," "," "," "," "," ","103","88","99"," "," "," "," ","290"," ","290"
"2010-2011","101","Alexandria City","170","Francis C. Hammond Middle","Y"," "," "," "," "," "," "," ","53","43","36"," "," "," "," ","132"," ","132"
"2010-2011","101","Alexandria City","250","Francis Hammond 2 Middle","N"," "," "," "," "," "," "," ","81","101","97"," "," "," "," ","279"," ","279"
"2010-2011","101","Alexandria City","250","Francis Hammond 2 Middle","Y"," "," "," "," "," "," "," ","58","42","50"," "," "," "," ","150"," ","150"
"2010-2011","101","Alexandria City","260","Francis Hammond 3 Middle","N"," "," "," "," "," "," "," ","83","79","104"," "," "," "," ","266"," ","266"
"2010-2011","101","Alexandria City","260","Francis Hammond 3 Middle","Y"," "," "," "," "," "," "," ","59","46","41"," "," "," "," ","146"," ","146"
"2010-2011","101","Alexandria City","100","George Mason Elementary","N"," ","66","65","66","47","54","42"," "," "," "," "," "," "," ","340"," ","340"
"2010-2011","101","Alexandria City","100","George Mason Elementary","Y"," ","16","12","17","23","16","14"," "," "," "," "," "," "," ","98"," ","98"
"2010-2011","101","Alexandria City","240","George Washington 2 Middle","N"," "," "," "," "," "," "," ","115","121","123"," "," "," "," ","359"," ","359"
"2010-2011","101","Alexandria City","240","George Washington 2 Middle","Y"," "," "," "," "," "," "," ","36","47","33"," "," "," "," ","116"," ","116"
"2010-2011","101","Alexandria City","10","George Washington Middle","N"," "," "," "," "," "," "," ","123","138","122"," "," "," "," ","383"," ","383"
"2010-2011","101","Alexandria City","10","George Washington Middle","Y"," "," "," "," "," "," "," ","37","31","33"," "," "," "," ","101"," ","101"
"2010-2011","101","Alexandria City","220","James K. Polk Elementary","N"," ","77","81","58","54","56","51"," "," "," "," "," "," "," ","377"," ","377"
"2010-2011","101","Alexandria City","220","James K. Polk Elementary","Y"," ","37","29","49","32","35","30"," "," "," "," "," "," "," ","212"," ","212"
"2010-2011","101","Alexandria City","90","Jefferson-Houston Elementary","N","54","43","37","26","33","32","30","34","18"," "," "," "," "," ","307"," ","307"
"2010-2011","101","Alexandria City","90","Jefferson-Houston Elementary","Y"," ","<","<","<","<","<","<"," ","<"," "," "," "," "," ","28"," ","28"
"2010-2011","101","Alexandria City","230","John Adams Elementary","N","104","71","77","65","57","50","46"," "," "," "," "," "," "," ","470"," ","470"
"2010-2011","101","Alexandria City","230","John Adams Elementary","Y","<","69","40","78","50","55","43"," "," "," "," "," "," "," ","338"," ","338"
"2010-2011","101","Alexandria City","80","Lyles-Crouch Elementary","N"," ","57","66","65","58","46","40"," "," "," "," "," "," "," ","332"," ","332"
"2010-2011","101","Alexandria City","80","Lyles-Crouch Elementary","Y"," ","<","<","<","<","<","<"," "," "," "," "," "," "," ","26"," ","26"
"2010-2011","101","Alexandria City","60","Maury Elementary","N"," ","68","74","51","57","55","34"," "," "," "," "," "," "," ","339"," ","339"
"2010-2011","101","Alexandria City","60","Maury Elementary","Y"," ","<","<","<","<"," ","<"," "," "," "," "," "," "," ","11"," ","11"
