"School Year","Division Number","Division Name","School Number","School Name","English Learners include Former ELs","Grade PK","Grade KG","Grade 1","Grade 2","Grade 3","Grade 4","Grade 5","Grade 6","Grade 7","Grade 8","Grade 9","Grade 10","Grade 11","Grade 12","Full Time Count (All Grades)","Part Time Count (All Grades)","Total Count"
"2010-2011","44","Henry County","220","Sanville Elementary","N","25","43","49","52","44","47","47"," "," "," "," "," "," "," ","307"," ","307"
"2010-2011","44","Henry County","220","Sanville Elementary","Y"," ","<","<","<","<"," ","<"," "," "," "," "," "," "," ","11"," ","11"
"2010-2011","44","Henry County","760","Stanleytown Elementary","N","36","48","49","37","60","49","54"," "," "," "," "," "," "," ","333"," ","333"
"2010-2011","44","Henry County","760","Stanleytown Elementary","Y"," ","10","<","<","10","<","<"," "," "," "," "," "," "," ","36"," ","36"
"2010-2011","44","Henry County","361","new Axton Elementary","N","31","53","53","59","60","55","56"," "," "," "," "," "," "," ","367"," ","367"
"2010-2011","44","Henry County","361","new Axton Elementary","Y"," ","18","12","12","12","10","<"," "," "," "," "," "," "," ","71"," ","71"
"2010-2011","45","Highland County","110","Highland Elementary","N","12","17","13","18","12","15","15"," "," "," "," "," "," "," ","102"," ","102"
"2010-2011","45","Highland County","220","Highland High","N"," "," "," "," "," "," "," ","18","19","16","20","16","20","24","133"," ","133"
"2010-2011","45","Highland County","220","Highland High","Y"," "," "," "," "," "," "," "," "," "," ","<","<","<"," ","<"," ","<"
"2010-2011","114","Hopewell City","110","Carter G. Woodson Middle","N"," "," "," "," "," "," "," ","306","278","277"," "," "," "," ","861"," ","861"
"2010-2011","114","Hopewell City","110","Carter G. Woodson Middle","Y"," "," "," "," "," "," "," ","<","<","<"," "," "," "," ","17"," ","17"
"2010-2011","114","Hopewell City","40","Dupont Elementary","N"," ","123","90","93","120","116","102"," "," "," "," "," "," "," ","644"," ","644"
"2010-2011","114","Hopewell City","40","Dupont Elementary","Y"," ","<","<","<","<"," ","<"," "," "," "," "," "," "," ","11"," ","11"
"2010-2011","114","Hopewell City","140","Harry E. James Elementary","N"," ","99","117","103","83","93","119"," "," "," "," "," "," "," ","614"," ","614"
"2010-2011","114","Hopewell City","140","Harry E. James Elementary","Y"," ","<","<","<","<","<","<"," "," "," "," "," "," "," ","31"," ","31"
"2010-2011","114","Hopewell City","120","Hopewell High","N"," "," "," "," "," "," "," "," "," "," ","328","277","252","233","1,090"," ","1,090"
"2010-2011","114","Hopewell City","120","Hopewell High","Y"," "," "," "," "," "," "," "," "," "," ","<","<","<","<","21"," ","21"
"2010-2011","114","Hopewell City","70","Patrick Copeland Elementary","N"," ","110","115","110","102","99","94"," "," "," "," "," "," "," ","630"," ","630"
"2010-2011","114","Hopewell City","70","Patrick Copeland Elementary","Y"," ","<","<","<","<","<","<"," "," "," "," "," "," "," ","14"," ","14"
"2010-2011","114","Hopewell City","151","Woodlawn Pre-School Learning Center","N","302"," "," "," "," "," "," "," "," "," "," "," "," "," ","302"," ","302"
"2010-2011","46","Isle of Wight County","421","Carrollton Elementary","N","46","222","43","153","115"," "," "," "," "," "," "," "," "," ","579"," ","579"
"2010-2011","46","Isle of Wight County","421","Carrollton Elementary","Y"," ","<"," ","<","<"," "," "," "," "," "," "," "," "," ","11"," ","11"
"2010-2011","46","Isle of Wight County","280","Carrsville Elementary","N","16","34","38","30","41","46","38"," "," "," "," "," "," "," ","243"," ","243"
"2010-2011","46","Isle of Wight County","280","Carrsville Elementary","Y"," "," "," "," ","<","<"," "," "," "," "," "," "," "," ","<"," ","<"
"2010-2011","46","Isle of Wight County","320","Hardy Elementary","N","25","224","16","121","114"," "," "," "," "," "," "," "," "," ","500"," ","500"
"2010-2011","46","Isle of Wight County","320","Hardy Elementary","Y"," "," "," ","<","<"," "," "," "," "," "," "," "," "," ","<"," ","<"
"2010-2011","46","Isle of Wight County","40","Smithfield High","N"," "," "," "," "," "," "," "," "," "," ","331","360","312","299","1,302"," ","1,302"
"2010-2011","46","Isle of Wight County","40","Smithfield High","Y"," "," "," "," "," "," "," "," "," "," ","<","<"," ","<","<"," ","<"
"2010-2011","46","Isle of Wight County","50","Smithfield Middle","N"," "," "," "," "," "," "," "," ","315","304"," "," "," "," ","619"," ","619"
"2010-2011","46","Isle of Wight County","50","Smithfield Middle","Y"," "," "," "," "," "," "," "," "," ","<"," "," "," "," ","<"," ","<"
"2010-2011","46","Isle of Wight County","424","Westside Elementary","N"," "," "," "," "," ","255","263","281"," "," "," "," "," "," ","799"," ","799"
"2010-2011","46","Isle of Wight County","424","Westside Elementary","Y"," "," "," "," "," ","<"," ","<"," "," "," "," "," "," ","<"," ","<"
"2010-2011","46","Isle of Wight County","240","Windsor Elementary","N","57","102","73","103","88","95","89"," "," "," "," "," "," "," ","607"," ","607"
"2010-2011","46","Isle of Wight County","240","Windsor Elementary","Y"," ","<","<","<","<"," "," "," "," "," "," "," "," "," ","<"," ","<"
"2010-2011","46","Isle of Wight County","250","Windsor High","N"," "," "," "," "," "," "," "," "," "," ","148","136","112","105","501"," ","501"
"2010-2011","46","Isle of Wight County","422","Windsor Middle","N"," "," "," "," "," "," "," ","105","103","118"," "," "," "," ","326"," ","326"
"2010-2011","46","Isle of Wight County","422","Windsor Middle","Y"," "," "," "," "," "," "," "," ","<"," "," "," "," "," ","<"," ","<"
"2010-2011","48","King George County","100","King George Elementary","N","85","107","105","107","116","98","115","134"," "," "," "," "," "," ","867","<","868"
"2010-2011","48","King George County","100","King George Elementary","Y"," "," ","<","<"," ","<","<"," "," "," "," "," "," "," ","<"," ","<"
"2010-2011","48","King George County","120","King George High","N"," "," "," "," "," "," "," "," "," "," ","348","330","310","317","1,305"," ","1,305"
"2010-2011","48","King George County","120","King George High","Y"," "," "," "," "," "," "," "," "," "," "," "," ","<","<","<"," ","<"
"2010-2011","48","King George County","10","King George Middle","N"," "," "," "," "," "," "," "," ","338","324"," "," "," "," ","662"," ","662"
"2010-2011","48","King George County","10","King George Middle","Y"," "," "," "," "," "," "," "," ","<","<"," "," "," "," ","<"," ","<"
"2010-2011","48","King George County","50","Potomac Elementary","N"," ","97","105","88","80","72","90","77"," "," "," "," "," "," ","609"," ","609"
"2010-2011","48","King George County","221","Sealston Elementary","N"," ","117","133","99","87","110","117","90"," "," "," "," "," "," ","753"," ","753"
"2010-2011","48","King George County","221","Sealston Elementary","Y"," ","<","<"," ","<","<","<","<"," "," "," "," "," "," ","11"," ","11"
"2010-2011","50","King William County","180","Acquinton Elementary","N"," "," "," "," ","180","172","179"," "," "," "," "," "," "," ","531"," ","531"
"2010-2011","50","King William County","180","Acquinton Elementary","Y"," "," "," "," ","<","<"," "," "," "," "," "," "," "," ","<"," ","<"
"2010-2011","50","King William County","190","Cool Spring Primary","N","46","168","179","166"," "," "," "," "," "," "," "," "," "," ","559"," ","559"
"2010-2011","50","King William County","190","Cool Spring Primary","Y"," "," ","<","<"," "," "," "," "," "," "," "," "," "," ","<"," ","<"
"2010-2011","50","King William County","160","Hamilton Holmes Middle","N"," "," "," "," "," "," "," ","169","172","156"," "," "," "," ","497"," ","497"
"2010-2011","50","King William County","160","Hamilton Holmes Middle","Y"," "," "," "," "," "," "," ","<"," "," "," "," "," "," ","<"," ","<"
"2010-2011","50","King William County","130","King William High","N"," "," "," "," "," "," "," "," "," "," ","169","173","153","144","639"," ","639"
"2010-2011","50","King William County","130","King William High","Y"," "," "," "," "," "," "," "," "," "," "," ","<","<"," ","<"," ","<"
"2010-2011","49","King and Queen County","280","Central High","N"," "," "," "," "," "," "," "," "," ","54","56","61","71","48","290"," ","290"
"2010-2011","49","King and Queen County","280","Central High","Y"," "," "," "," "," "," "," "," "," ","<"," ","<"," "," ","<"," ","<"
"2010-2011","49","King and Queen County","200","King & Queen Elementary","N","26","30","25","31","30","27","26","20","23"," "," "," "," "," ","238"," ","238"
"2010-2011","49","King and Queen County","200","King & Queen Elementary","Y"," ","<","<","<"," "," ","<"," ","<"," "," "," "," "," ","12"," ","12"
"2010-2011","49","King and Queen County","290","Lawson-Marriott Elementary","N","18","37","30","24","30","23","26","23","25"," "," "," "," "," ","236"," ","236"
"2010-2011","49","King and Queen County","290","Lawson-Marriott Elementary","Y"," "," ","<"," "," "," ","<","<"," "," "," "," "," "," ","<"," ","<"
"2010-2011","51","Lancaster County","10","Lancaster High","N"," "," "," "," "," "," "," "," "," "," ","111","108","89","98","406"," ","406"
"2010-2011","51","Lancaster County","110","Lancaster Middle","N"," "," "," "," "," ","112","90","103","104","85"," "," "," "," ","494"," ","494"
"2010-2011","51","Lancaster County","210","Lancaster Primary","N","52","89","91","88","98"," "," "," "," "," "," "," "," "," ","418"," ","418"
"2010-2011","51","Lancaster County","210","Lancaster Primary","Y"," ","<","<","<"," "," "," "," "," "," "," "," "," "," ","<"," ","<"
"2010-2011","52","Lee County","160","Dryden Elementary","N","46","61","52","45","52","61","48"," "," "," "," "," "," "," ","365"," ","365"
"2010-2011","52","Lee County","330","Elk Knob Elementary","N","39","60","53","50","56","49","53"," "," "," "," "," "," "," ","360"," ","360"
"2010-2011","52","Lee County","330","Elk Knob Elementary","Y","<"," "," "," "," ","<","<"," "," "," "," "," "," "," ","<"," ","<"
"2010-2011","52","Lee County","820","Elydale Elementary","N"," ","15","15","13","13","16","11","<","10"," "," "," "," "," ","100"," ","100"
"2010-2011","52","Lee County","760","Ewing Elementary","N","20","23","17","15","19","22","26","22","19"," "," "," "," "," ","183"," ","183"
"2010-2011","52","Lee County","760","Ewing Elementary","Y"," "," "," "," "," ","<"," "," "," "," "," "," "," "," ","<"," ","<"
"2010-2011","52","Lee County","630","Flatwoods Elementary","N","84","60","61","56","41","56","54"," "," "," "," "," "," "," ","412"," ","412"
"2010-2011","52","Lee County","470","Jonesville Middle","N"," "," "," "," "," "," "," ","74","89","87"," "," "," "," ","250"," ","250"
"2010-2011","52","Lee County","20","Keokee Elementary","N","<","<","11","<","<","<","<","<","<"," "," "," "," "," ","70"," ","70"
"2010-2011","52","Lee County","20","Keokee Elementary","Y"," "," "," "," "," "," ","<"," "," "," "," "," "," "," ","<"," ","<"
"2010-2011","52","Lee County","300","Lee High","N"," "," "," "," "," "," "," "," "," "," ","204","200","164","161","729"," ","729"
"2010-2011","52","Lee County","290","Pennington Middle","N"," "," "," "," "," "," "," ","91","112","124"," "," "," "," ","327"," ","327"
"2010-2011","52","Lee County","670","Rose Hill Elementary","N","19","22","15","24","28","31","24","21","16"," "," "," "," "," ","200"," ","200"
"2010-2011","52","Lee County","200","St. Charles Elementary","N","19","23","20","26","24","22","23","13","<"," "," "," "," "," ","179"," ","179"
"2010-2011","52","Lee County","340","Stickleyville Elementary","N","<","17","<","12","16","12","13","<","<"," "," "," "," "," ","98"," ","98"
"2010-2011","52","Lee County","880","Thomas Walker High","N"," "," "," "," "," "," "," "," "," ","73","76","53","71","45","318"," ","318"
"2010-2011","137","Lexington City","1390","Harrington Waddell Elementary","N"," ","49","49","56","37","64","51"," "," "," "," "," "," "," ","306"," ","306"
"2010-2011","137","Lexington City","1390","Harrington Waddell Elementary","Y"," ","<","<","<"," ","<","<"," "," "," "," "," "," "," ","13"," ","13"
"2010-2011","137","Lexington City","1440","Lylburn Downing Middle","N"," "," "," "," "," "," "," ","53","62","53"," "," "," "," ","168"," ","168"
"2010-2011","137","Lexington City","1440","Lylburn Downing Middle","Y"," "," "," "," "," "," "," "," ","<"," "," "," "," "," ","<"," ","<"
"2010-2011","53","Loudoun County","510","Aldie Elementary","N","<","11","16","19","16","15","22"," "," "," "," "," "," "," ","100"," ","100"
"2010-2011","53","Loudoun County","510","Aldie Elementary","Y"," ","<","<"," "," ","<"," "," "," "," "," "," "," "," ","<"," ","<"
"2010-2011","53","Loudoun County","150","Algonkian Elementary","N","<","51","70","66","64","67","77"," "," "," "," "," "," "," ","397"," ","397"
"2010-2011","53","Loudoun County","150","Algonkian Elementary","Y"," ","14","11","<","<","<","<"," "," "," "," "," "," "," ","51"," ","51"
"2010-2011","53","Loudoun County","610","Arcola Elementary","N","20","71","110","97","81","69","77"," "," "," "," "," "," "," ","525"," ","525"
"2010-2011","53","Loudoun County","610","Arcola Elementary","Y"," ","10","14","13","15","<","<"," "," "," "," "," "," "," ","64"," ","64"
"2010-2011","53","Loudoun County","170","Ashburn Elementary","N","13","77","102","86","93","124","105"," "," "," "," "," "," "," ","600"," ","600"
"2010-2011","53","Loudoun County","170","Ashburn Elementary","Y"," ","15","16","11","<","10","<"," "," "," "," "," "," "," ","67"," ","67"
"2010-2011","53","Loudoun County","220","Ball's Bluff Elementary","N","<","97","110","99","109","107","107"," "," "," "," "," "," "," ","632"," ","632"
"2010-2011","53","Loudoun County","220","Ball's Bluff Elementary","Y"," ","46","50","35","34","25","29"," "," "," "," "," "," "," ","219"," ","219"
"2010-2011","53","Loudoun County","650","Banneker Elementary","N","<","21","24","35","34","33","29"," "," "," "," "," "," "," ","177"," ","177"
"2010-2011","53","Loudoun County","650","Banneker Elementary","Y"," ","<","<","<","<","<"," "," "," "," "," "," "," "," ","19"," ","19"
"2010-2011","53","Loudoun County","940","Belmont Ridge Middle","N"," "," "," "," "," "," "," ","452","410","414"," "," "," "," ","1,276"," ","1,276"
"2010-2011","53","Loudoun County","940","Belmont Ridge Middle","Y"," "," "," "," "," "," "," ","<","<","<"," "," "," "," ","23"," ","23"
"2010-2011","53","Loudoun County","300","Belmont Station Elementary","N","30","110","112","119","131","113","112"," "," "," "," "," "," "," ","727"," ","727"
"2010-2011","53","Loudoun County","300","Belmont Station Elementary","Y"," ","13","13","14","11","<","<"," "," "," "," "," "," "," ","64"," ","64"
"2010-2011","53","Loudoun County","790","Blue Ridge Middle","N"," "," "," "," "," "," "," ","296","276","281"," "," "," "," ","853","<","854"
"2010-2011","53","Loudoun County","790","Blue Ridge Middle","Y"," "," "," "," "," "," "," ","<","<","<"," "," "," "," ","11"," ","11"
"2010-2011","53","Loudoun County","420","Briar Woods High","N"," "," "," "," "," "," "," "," "," "," ","465","432","351","328","1,576","<","1,578"
"2010-2011","53","Loudoun County","420","Briar Woods High","Y"," "," "," "," "," "," "," "," "," "," ","<","<","<","<","23"," ","23"
"2010-2011","53","Loudoun County","740","Broad Run High","N"," "," "," "," "," "," "," "," "," "," ","417","424","389","334","1,564","<","1,566"
"2010-2011","53","Loudoun County","740","Broad Run High","Y"," "," "," "," "," "," "," "," "," "," ","34","28","28","26","116"," ","116"
"2010-2011","53","Loudoun County","450","Buffalo Trail Elementary","N","15","56","72","74","81","75","66"," "," "," "," "," "," "," ","439"," ","439"
"2010-2011","53","Loudoun County","450","Buffalo Trail Elementary","Y"," ","<","<","10","<","<","<"," "," "," "," "," "," "," ","32"," ","32"
"2010-2011","53","Loudoun County","710","Catoctin Elementary","N","17","67","61","53","62","61","92"," "," "," "," "," "," "," ","413"," ","413"
"2010-2011","53","Loudoun County","710","Catoctin Elementary","Y"," ","22","20","12","21","15","<"," "," "," "," "," "," "," ","99"," ","99"
"2010-2011","53","Loudoun County","840","Cedar Lane Elementary","N","35","93","111","120","114","111","121"," "," "," "," "," "," "," ","705"," ","705"
"2010-2011","53","Loudoun County","840","Cedar Lane Elementary","Y"," ","14","17","<","<","11","<"," "," "," "," "," "," "," ","58"," ","58"
"2010-2011","53","Loudoun County","160","Cool Spring Elementary","N","<","118","116","117","115","133","121"," "," "," "," "," "," "," ","725"," ","725"
"2010-2011","53","Loudoun County","160","Cool Spring Elementary","Y"," ","19","24","10","<","16","12"," "," "," "," "," "," "," ","89"," ","89"
"2010-2011","53","Loudoun County","890","Countryside Elementary","N","23","79","98","93","81","78","104"," "," "," "," "," "," "," ","556"," ","556"
"2010-2011","53","Loudoun County","890","Countryside Elementary","Y"," ","19","31","24","21","10","12"," "," "," "," "," "," "," ","117"," ","117"
"2010-2011","53","Loudoun County","540","Creighton's Corner Elementary","N","<","88","141","130","138","123","120"," "," "," "," "," "," "," ","743"," ","743"
"2010-2011","53","Loudoun County","540","Creighton's Corner Elementary","Y"," ","32","23","16","11","13","<"," "," "," "," "," "," "," ","101"," ","101"
"2010-2011","53","Loudoun County","31","Dominion High","N","17"," "," "," "," "," "," "," "," "," ","305","294","289","285","1,190","<","1,191"
"2010-2011","53","Loudoun County","31","Dominion High","Y"," "," "," "," "," "," "," "," "," "," ","25","43","55","20","143"," ","143"
"2010-2011","53","Loudoun County","470","Dominion Trail Elementary","N"," ","80","116","100","117","131","111"," "," "," "," "," "," "," ","655"," ","655"
"2010-2011","53","Loudoun County","470","Dominion Trail Elementary","Y"," ","13","14","16","18","13","<"," "," "," "," "," "," "," ","79"," ","79"
"2010-2011","53","Loudoun County","880","Eagle Ridge Middle","N"," "," "," "," "," "," "," ","357","366","328"," "," "," "," ","1,051"," ","1,051"
"2010-2011","53","Loudoun County","880","Eagle Ridge Middle","Y"," "," "," "," "," "," "," ","<","<","<"," "," "," "," ","<"," ","<"
"2010-2011","53","Loudoun County","730","Emerick Elementary","N"," ","75","93","84","88","96","82"," "," "," "," "," "," "," ","518"," ","518"
"2010-2011","53","Loudoun County","730","Emerick Elementary","Y"," ","<","<","<","<","<","<"," "," "," "," "," "," "," ","12"," ","12"
"2010-2011","53","Loudoun County","190","Evergreen Mill Elementary","N","36","61","74","89","110","74","92"," "," "," "," "," "," "," ","536"," ","536"
"2010-2011","53","Loudoun County","190","Evergreen Mill Elementary","Y"," ","28","23","23","11","11","12"," "," "," "," "," "," "," ","108"," ","108"
"2010-2011","53","Loudoun County","210","Farmwell Station Middle","N"," "," "," "," "," "," "," ","359","380","362"," "," "," "," ","1,101","<","1,102"
"2010-2011","53","Loudoun County","210","Farmwell Station Middle","Y"," "," "," "," "," "," "," ","37","27","30"," "," "," "," ","94"," ","94"
"2010-2011","53","Loudoun County","970","Forest Grove Elementary","N","<","54","57","50","78","50","72"," "," "," "," "," "," "," ","365"," ","365"
"2010-2011","53","Loudoun County","970","Forest Grove Elementary","Y"," ","44","38","41","30","27","26"," "," "," "," "," "," "," ","206"," ","206"
"2010-2011","53","Loudoun County","91","Frances Hazel Reid Elementary","N","30","95","115","115","164","164","144"," "," "," "," "," "," "," ","827"," ","827"
"2010-2011","53","Loudoun County","91","Frances Hazel Reid Elementary","Y"," ","<","<","<","11","<","<"," "," "," "," "," "," "," ","33"," ","33"
"2010-2011","53","Loudoun County","120","Freedom High","N"," "," "," "," "," "," "," "," "," "," ","493","444","410","387","1,734","<","1,737"
"2010-2011","53","Loudoun County","120","Freedom High","Y"," "," "," "," "," "," "," "," "," "," ","20","13","26","20","79"," ","79"
"2010-2011","53","Loudoun County","720","Guilford Elementary","N","18","22","24","33","39","28","39"," "," "," "," "," "," "," ","203"," ","203"
"2010-2011","53","Loudoun County","720","Guilford Elementary","Y"," ","48","44","54","45","31","25"," "," "," "," "," "," "," ","247"," ","247"
"2010-2011","53","Loudoun County","230","Hamilton Elementary","N","<","29","29","23","26","29","32"," "," "," "," "," "," "," ","170"," ","170"
"2010-2011","53","Loudoun County","230","Hamilton Elementary","Y"," "," "," ","<"," "," "," "," "," "," "," "," "," "," ","<"," ","<"
"2010-2011","53","Loudoun County","520","Harper Park Middle","N"," "," "," "," "," "," "," ","313","296","289"," "," "," "," ","898","<","899"
"2010-2011","53","Loudoun County","520","Harper Park Middle","Y"," "," "," "," "," "," "," ","24","18","19"," "," "," "," ","61"," ","61"
"2010-2011","53","Loudoun County","900","Heritage High","N","16"," "," "," "," "," "," "," "," "," ","251","264","276","418","1,225"," ","1,225"
"2010-2011","53","Loudoun County","900","Heritage High","Y"," "," "," "," "," "," "," "," "," "," ","30","22","22","26","100"," ","100"
"2010-2011","53","Loudoun County","110","Hillsboro Elementary","N"," ","17","10","<","13","20","25"," "," "," "," "," "," "," ","91"," ","91"
"2010-2011","53","Loudoun County","110","Hillsboro Elementary","Y"," "," "," ","<"," ","<","<"," "," "," "," "," "," "," ","<"," ","<"
"2010-2011","53","Loudoun County","400","Hillside Elementary","N","<","90","128","117","121","132","129"," "," "," "," "," "," "," ","726"," ","726"
"2010-2011","53","Loudoun County","400","Hillside Elementary","Y"," ","<"," ","<","<","<","<"," "," "," "," "," "," "," ","14"," ","14"
"2010-2011","53","Loudoun County","820","Horizon Elementary","N","<","72","122","130","120","122","132"," "," "," "," "," "," "," ","705"," ","705"
"2010-2011","53","Loudoun County","820","Horizon Elementary","Y"," ","13","17","12","16","<","<"," "," "," "," "," "," "," ","67"," ","67"
"2010-2011","53","Loudoun County","960","Hutchison Farm Elementary","N","<","117","137","129","130","128","134"," "," "," "," "," "," "," ","783"," ","783"
"2010-2011","53","Loudoun County","960","Hutchison Farm Elementary","Y"," ","13","12","<","14","<","<"," "," "," "," "," "," "," ","58"," ","58"
"2010-2011","53","Loudoun County","20","J. Lupton Simpson Middle","N"," "," "," "," "," "," "," ","322","303","314"," "," "," "," ","939","<","940"
"2010-2011","53","Loudoun County","20","J. Lupton Simpson Middle","Y"," "," "," "," "," "," "," ","15","22","<"," "," "," "," ","46"," ","46"
"2010-2011","53","Loudoun County","950","John W. Tolbert Jr. Elementary","N","11","108","125","139","135","135","150"," "," "," "," "," "," "," ","803"," ","803"
"2010-2011","53","Loudoun County","950","John W. Tolbert Jr. Elementary","Y"," ","40","41","36","27","16","14"," "," "," "," "," "," "," ","174"," ","174"
"2010-2011","53","Loudoun County","600","Kenneth W.Culbert Elementary","N","18","65","85","77","84","76","114"," "," "," "," "," "," "," ","519"," ","519"
"2010-2011","53","Loudoun County","600","Kenneth W.Culbert Elementary","Y"," ","<","<","<","<","<","<"," "," "," "," "," "," "," ","15"," ","15"
"2010-2011","53","Loudoun County","80","Leesburg Elementary","N","32","72","82","78","74","82","80"," "," "," "," "," "," "," ","500"," ","500"
"2010-2011","53","Loudoun County","80","Leesburg Elementary","Y"," ","22","22","19","17","10","<"," "," "," "," "," "," "," ","97"," ","97"
"2010-2011","53","Loudoun County","430","Legacy Elementary","N","29","152","178","142","152","150","107"," "," "," "," "," "," "," ","910"," ","910"
"2010-2011","53","Loudoun County","430","Legacy Elementary","Y"," ","12","20","17","10","11","<"," "," "," "," "," "," "," ","77"," ","77"
"2010-2011","53","Loudoun County","560","Liberty Elementary","N","26","130","140","167","135","126","110"," "," "," "," "," "," "," ","834"," ","834"
"2010-2011","53","Loudoun County","560","Liberty Elementary","Y"," ","21","21","15","11","16","<"," "," "," "," "," "," "," ","93"," ","93"
"2010-2011","53","Loudoun County","290","Lincoln Elementary","N","<","15","22","21","17","14","19"," "," "," "," "," "," "," ","109"," ","109"
"2010-2011","53","Loudoun County","860","Little River Elementary","N","<","118","128","158","144","148","134"," "," "," "," "," "," "," ","837"," ","837"
"2010-2011","53","Loudoun County","860","Little River Elementary","Y"," ","<","<","<","<","<","<"," "," "," "," "," "," "," ","31"," ","31"
"2010-2011","53","Loudoun County","660","Loudoun County High","N"," "," "," "," "," "," "," "," "," "," ","319","320","343","359","1,341","<","1,342"
"2010-2011","53","Loudoun County","660","Loudoun County High","Y"," "," "," "," "," "," "," "," "," "," ","20","15","19","14","68"," ","68"
"2010-2011","53","Loudoun County","680","Loudoun Valley High","N"," "," "," "," "," "," "," "," "," "," ","268","239","246","563","1,316","<","1,319"
"2010-2011","53","Loudoun County","680","Loudoun Valley High","Y"," "," "," "," "," "," "," "," "," "," ","<","<","<","<","15"," ","15"
"2010-2011","53","Loudoun County","780","Lovettsville Elementary","N","<","77","82","85","91","86","107"," "," "," "," "," "," "," ","533"," ","533"
"2010-2011","53","Loudoun County","780","Lovettsville Elementary","Y"," ","<","<","<","<","<","<"," "," "," "," "," "," "," ","14"," ","14"
"2010-2011","53","Loudoun County","500","Lowes Island Elementary","N","<","80","109","122","115","104","112"," "," "," "," "," "," "," ","646"," ","646"
"2010-2011","53","Loudoun County","500","Lowes Island Elementary","Y"," ","10","<","12","<","<","<"," "," "," "," "," "," "," ","40"," ","40"
"2010-2011","53","Loudoun County","130","Lucketts Elementary","N","<","25","29","36","25","45","26"," "," "," "," "," "," "," ","188"," ","188"
"2010-2011","53","Loudoun County","130","Lucketts Elementary","Y"," ","<","<","<","<","<","<"," "," "," "," "," "," "," ","37"," ","37"
"2010-2011","53","Loudoun County","70","Meadowland Elementary","N","<","37","44","41","51","40","63"," "," "," "," "," "," "," ","278"," ","278"
"2010-2011","53","Loudoun County","70","Meadowland Elementary","Y"," ","29","30","25","20","28","16"," "," "," "," "," "," "," ","148"," ","148"
"2010-2011","53","Loudoun County","320","Mercer Middle","N"," "," "," "," "," "," "," ","448","436","372"," "," "," "," ","1,256"," ","1,256"
"2010-2011","53","Loudoun County","320","Mercer Middle","Y"," "," "," "," "," "," "," ","22","26","22"," "," "," "," ","70"," ","70"
"2010-2011","53","Loudoun County","490","Middleburg Elementary","N"," ","11","<","<","13","11","12"," "," "," "," "," "," "," ","63"," ","63"
"2010-2011","53","Loudoun County","490","Middleburg Elementary","Y"," ","<","<","<","<","<"," "," "," "," "," "," "," "," ","11"," ","11"
"2010-2011","53","Loudoun County","910","Mill Run Elementary","N","11","118","136","166","153","127","128"," "," "," "," "," "," "," ","839"," ","839"
"2010-2011","53","Loudoun County","910","Mill Run Elementary","Y"," ","<","16","10","<","<","<"," "," "," "," "," "," "," ","54"," ","54"
"2010-2011","53","Loudoun County","980","Mountain View Elementary","N","14","72","63","78","85","92","99"," "," "," "," "," "," "," ","503"," ","503"
"2010-2011","53","Loudoun County","980","Mountain View Elementary","Y"," ","<","<","<","<","<","<"," "," "," "," "," "," "," ","22"," ","22"
"2010-2011","53","Loudoun County","270","Newton-Lee Elementary","N","29","138","163","148","144","132","143"," "," "," "," "," "," "," ","897"," ","897"
"2010-2011","53","Loudoun County","270","Newton-Lee Elementary","Y"," ","<","10","12","<","<","<"," "," "," "," "," "," "," ","43"," ","43"
"2010-2011","53","Loudoun County","60","Park View High","N"," "," "," "," "," "," "," "," "," "," ","250","254","238","244","986"," ","986"
"2010-2011","53","Loudoun County","60","Park View High","Y"," "," "," "," "," "," "," "," "," "," ","101","83","100","55","339"," ","339"
"2010-2011","53","Loudoun County","340","Pinebrook Elementary","N","28","116","148","140","114","107","81"," "," "," "," "," "," "," ","734"," ","734"
"2010-2011","53","Loudoun County","340","Pinebrook Elementary","Y"," ","20","16","14","<","11","10"," "," "," "," "," "," "," ","78"," ","78"
"2010-2011","53","Loudoun County","140","Potomac Falls High","N"," "," "," "," "," "," "," "," "," "," ","321","367","345","369","1,402"," ","1,402"
"2010-2011","53","Loudoun County","140","Potomac Falls High","Y"," "," "," "," "," "," "," "," "," "," ","29","20","24","28","101"," ","101"
"2010-2011","53","Loudoun County","250","Potowmack Elementary","N","20","65","91","82","112","88","88"," "," "," "," "," "," "," ","546"," ","546"
"2010-2011","53","Loudoun County","250","Potowmack Elementary","Y"," ","26","16","10","10","16","<"," "," "," "," "," "," "," ","87"," ","87"
"2010-2011","53","Loudoun County","930","River Bend Middle","N"," "," "," "," "," "," "," ","326","365","351"," "," "," "," ","1,042"," ","1,042"
"2010-2011","53","Loudoun County","930","River Bend Middle","Y"," "," "," "," "," "," "," ","32","32","40"," "," "," "," ","104"," ","104"
"2010-2011","53","Loudoun County","40","Rolling Ridge Elementary","N","65","28","61","32","42","49","36"," "," "," "," "," "," "," ","313"," ","313"
"2010-2011","53","Loudoun County","40","Rolling Ridge Elementary","Y"," ","54","61","37","61","47","35"," "," "," "," "," "," "," ","295"," ","295"
"2010-2011","53","Loudoun County","550","Rosa Lee Carter Elementary","N","12","71","128","121","108","110","102"," "," "," "," "," "," "," ","652"," ","652"
"2010-2011","53","Loudoun County","550","Rosa Lee Carter Elementary","Y"," ","30","32","21","23","24","<"," "," "," "," "," "," "," ","138"," ","138"
"2010-2011","53","Loudoun County","180","Round Hill Elementary","N","29","72","92","92","93","82","90"," "," "," "," "," "," "," ","550"," ","550"
