"School Year","Division Number","Division Name","School Number","School Name","Grade PK","Grade KG","Grade 1","Grade 2","Grade 3","Grade 4","Grade 5","Grade 6","Grade 7","Grade 8","Grade 9","Grade 10","Grade 11","Grade 12","Full Time Count (All Grades)","Part Time Count (All Grades)","Total Count"
"2010-2011","9","Bath County","140","Bath County High"," "," "," "," "," "," "," "," "," ","53","58","62","64","51","288"," ","288"
"2010-2011","9","Bath County","120","Millboro Elementary","8","15","13","9","12","14","21","22","15"," "," "," "," "," ","129"," ","129"
"2010-2011","9","Bath County","150","Valley Elementary","19","18","28","24","25","32","27","31","37"," "," "," "," "," ","241"," ","241"
"2010-2011","10","Bedford County","480","Bedford Elementary"," "," "," "," ","91","90","115","113"," "," "," "," "," "," ","409"," ","409"
"2010-2011","10","Bedford County","490","Bedford Middle"," "," "," "," "," "," "," "," ","246","229"," "," "," "," ","475"," ","475"
"2010-2011","10","Bedford County","1200","Bedford Primary","29","117","111","104"," "," "," "," "," "," "," "," "," "," ","361"," ","361"
"2010-2011","10","Bedford County","30","Big Island Elementary"," ","24","27","30","27","40","28","34"," "," "," "," "," "," ","210"," ","210"
"2010-2011","10","Bedford County","1160","Body Camp Elementary","16","22","25","27","24","26","29"," "," "," "," "," "," "," ","169"," ","169"
"2010-2011","10","Bedford County","160","Boonsboro Elementary"," ","45","47","58","57","54","41"," "," "," "," "," "," "," ","302"," ","302"
"2010-2011","10","Bedford County","500","Forest Elementary"," ","81","74","83","71","72","75"," "," "," "," "," "," "," ","456","1","457"
"2010-2011","10","Bedford County","1211","Forest Middle"," "," "," "," "," "," "," ","320","345","346"," "," "," "," ","1,011"," ","1,011"
"2010-2011","10","Bedford County","1214","Goodview Elementary","24","77","81","81","88","81","75"," "," "," "," "," "," "," ","507"," ","507"
"2010-2011","10","Bedford County","980","Huddleston Elementary"," ","33","38","32","44","40","38"," "," "," "," "," "," "," ","225"," ","225"
"2010-2011","10","Bedford County","1212","Jefferson Forest High"," "," "," "," "," "," "," "," "," "," ","343","308","337","313","1,301","2","1,303"
"2010-2011","10","Bedford County","1180","Liberty High"," "," "," "," "," "," "," "," "," "," ","240","233","213","254","940"," ","940"
"2010-2011","10","Bedford County","970","Moneta Elementary","26","23","35","28","27","41","29"," "," "," "," "," "," "," ","209"," ","209"
"2010-2011","10","Bedford County","180","Montvale Elementary","21","32","38","27","43","37","37","38"," "," "," "," "," "," ","273"," ","273"
"2010-2011","10","Bedford County","610","New London Academy Elementary","25","56","57","54","54","63","43"," "," "," "," "," "," "," ","352"," ","352"
"2010-2011","10","Bedford County","1170","Otter River Elementary","6","27","31","39","35","41","35"," "," "," "," "," "," "," ","214"," ","214"
"2010-2011","10","Bedford County","1190","Staunton River High"," "," "," "," "," "," "," "," "," "," ","307","295","243","265","1,110"," ","1,110"
"2010-2011","10","Bedford County","1191","Staunton River Middle"," "," "," "," "," "," "," ","240","277","292"," "," "," "," ","809"," ","809"
"2010-2011","10","Bedford County","640","Stewartsville Elementary","36","63","59","73","54","58","63"," "," "," "," "," "," "," ","406"," ","406"
"2010-2011","10","Bedford County","450","Thaxton Elementary","17","23","32","32","38","32","35","27"," "," "," "," "," "," ","236"," ","236"
"2010-2011","10","Bedford County","1213","Thomas Jefferson Elementary","19","81","96","104","94","109","114"," "," "," "," "," "," "," ","617"," ","617"
"2010-2011","11","Bland County","232","Bland Elementary"," ","35","26","37","37","42","32","27","30"," "," "," "," "," ","266"," ","266"
"2010-2011","11","Bland County","231","Bland High"," "," "," "," "," "," "," "," "," ","52","28","40","35","33","188"," ","188"
"2010-2011","11","Bland County","62","Rocky Gap Elementary"," ","27","34","32","23","30","29","30","39"," "," "," "," "," ","244"," ","244"
"2010-2011","11","Bland County","61","Rocky Gap High"," "," "," "," "," "," "," "," "," ","35","43","40","39","42","199"," ","199"
"2010-2011","12","Botetourt County","220","Breckinridge Elementary","8","75","4","39","38","44","40"," "," "," "," "," "," "," ","248","1","249"
"2010-2011","12","Botetourt County","20","Buchanan Elementary","19","85","5","45","51","56","59"," "," "," "," "," "," "," ","320"," ","320"
"2010-2011","12","Botetourt County","420","Central Academy Middle"," "," "," "," "," "," "," ","137","157","170"," "," "," "," ","464"," ","464"
"2010-2011","12","Botetourt County","390","Cloverdale Elementary"," ","44","70","50","44","56","55"," "," "," "," "," "," "," ","319"," ","319"
"2010-2011","12","Botetourt County","400","Colonial Elementary","8","71","79","78","97","59","74"," "," "," "," "," "," "," ","466"," ","466"
"2010-2011","12","Botetourt County","30","Eagle Rock Elementary","12","26","12","24","34","20","30"," "," "," "," "," "," "," ","158"," ","158"
"2010-2011","12","Botetourt County","460","Greenfield Elementary","8","63","73","51","58","84","82"," "," "," "," "," "," "," ","419"," ","419"
"2010-2011","12","Botetourt County","430","James River High"," "," "," "," "," "," "," "," "," "," ","112","136","120","116","484"," ","484"
"2010-2011","12","Botetourt County","440","Lord Botetourt High"," "," "," "," "," "," "," "," "," "," ","318","283","275","223","1,099"," ","1,099"
"2010-2011","12","Botetourt County","450","Read Mountain Middle"," "," "," "," "," "," "," ","213","273","229"," "," "," "," ","715"," ","715"
"2010-2011","12","Botetourt County","40","Troutville Elementary","5","53","56","51","59","58","35"," "," "," "," "," "," "," ","317"," ","317"
"2010-2011","102","Bristol City","60","Highland View Elementary","15","36","30","36","37","30","30"," "," "," "," "," "," "," ","214"," ","214"
"2010-2011","102","Bristol City","100","Joseph Van Pelt Elementary","34","68","61","63","59","63","65"," "," "," "," "," "," "," ","413"," ","413"
"2010-2011","102","Bristol City","70","Stonewall Jackson Elementary","35","45","43","39","50","36","38"," "," "," "," "," "," "," ","286"," ","286"
"2010-2011","102","Bristol City","80","Virginia High"," "," "," "," "," "," "," "," "," "," ","189","177","157","147","670"," ","670"
"2010-2011","102","Bristol City","10","Virginia Middle"," "," "," "," "," "," "," ","201","181","168"," "," "," "," ","550"," ","550"
"2010-2011","102","Bristol City","90","Washington-Lee Elementary"," ","44","43","35","41","57","44"," "," "," "," "," "," "," ","264"," ","264"
"2010-2011","13","Brunswick County","650","Brunswick High"," "," "," "," "," "," "," "," "," "," ","183","159","151","143","636"," ","636"
"2010-2011","13","Brunswick County","660","James S. Russell Middle"," "," "," "," "," "," "," ","156","152","167"," "," "," "," ","475"," ","475"
"2010-2011","13","Brunswick County","690","Meherrin Powellton Elementary","35","38","43","38","43","47","43"," "," "," "," "," "," "," ","287"," ","287"
"2010-2011","13","Brunswick County","700","Red Oak-Sturgeon Elementary","5","42","37","33","43","26","32"," "," "," "," "," "," "," ","218"," ","218"
"2010-2011","13","Brunswick County","720","Totaro Elementary","54","75","88","56","70","73","65"," "," "," "," "," "," "," ","481"," ","481"
"2010-2011","14","Buchanan County","90","Council Elementary/Middle","15","26","22","25","17","31","15","31","24"," "," "," "," "," ","206"," ","206"
"2010-2011","14","Buchanan County","1000","Council High"," "," "," "," "," "," "," "," "," ","31","22","25","26","36","140"," ","140"
"2010-2011","14","Buchanan County","990","Grundy High"," "," "," "," "," "," "," "," "," "," ","144","130","106","111","491"," ","491"
"2010-2011","14","Buchanan County","120","Hurley Elementary/Middle","18","48","58","41","55","39","42","50","55"," "," "," "," "," ","406"," ","406"
"2010-2011","14","Buchanan County","1020","Hurley High"," "," "," "," "," "," "," "," "," ","56","44","50","39","53","242"," ","242"
"2010-2011","14","Buchanan County","20","J.M. Bevins Elementary","17","9","30","25","13","18","18"," "," "," "," "," "," "," ","130"," ","130"
"2010-2011","14","Buchanan County","1040","Riverview Elementary/Middle","43","65","84","69","74","87","91","114","112","133"," "," "," "," ","872"," ","872"
"2010-2011","14","Buchanan County","10","Russell Prater Elementary","17","26","19","14","18","17","12"," "," "," "," "," "," "," ","123"," ","123"
"2010-2011","14","Buchanan County","1041","Twin Valley Elementary/Middle","18","65","48","56","54","42","54","39","52"," "," "," "," "," ","428"," ","428"
"2010-2011","14","Buchanan County","1042","Twin Valley High"," "," "," "," "," "," "," "," "," ","64","58","64","66","43","295"," ","295"
"2010-2011","15","Buckingham County","700","Buckingham County High"," "," "," "," "," "," "," "," "," "," ","173","162","157","149","641"," ","641"
"2010-2011","15","Buckingham County","721","Buckingham County Middle"," "," "," "," "," "," "," ","152","150","143"," "," "," "," ","445"," ","445"
"2010-2011","15","Buckingham County","10","Buckingham Primary","24","43","40","41","44"," "," "," "," "," "," "," "," "," ","192"," ","192"
"2010-2011","15","Buckingham County","722","Dillwyn Elementary"," "," "," "," "," ","102","100"," "," "," "," "," "," "," ","202"," ","202"
"2010-2011","15","Buckingham County","510","Dillwyn Primary","54","77","67","77","68"," "," "," "," "," "," "," "," "," ","343"," ","343"
"2010-2011","15","Buckingham County","730","Gold Hill Elementary","35","36","34","32","32","19","24"," "," "," "," "," "," "," ","212"," ","212"
"2010-2011","103","Buena Vista City","40","Enderly Heights Elementary","17","54","49","41","37","57"," "," "," "," "," "," "," "," ","255"," ","255"
"2010-2011","103","Buena Vista City","70","F.W. Kling Jr. Elementary"," ","30","35","34","33","48"," "," "," "," "," "," "," "," ","180"," ","180"
"2010-2011","103","Buena Vista City","62","Parry McCluer High"," "," "," "," "," "," "," "," "," "," ","93","83","82","77","335"," ","335"
"2010-2011","103","Buena Vista City","61","Parry McCluer Middle"," "," "," "," "," "," ","81","98","95","91"," "," "," "," ","365"," ","365"
"2010-2011","16","Campbell County","560","Altavista Elementary","37","91","112","97","89","89","88"," "," "," "," "," "," "," ","603"," ","603"
"2010-2011","16","Campbell County","200","Altavista High"," "," "," "," "," "," "," ","111","114","115","103","119","103","96","761"," ","761"
"2010-2011","16","Campbell County","720","Brookville High"," "," "," "," "," "," "," "," "," "," ","262","273","261","237","1,033"," ","1,033"
"2010-2011","16","Campbell County","20","Brookville Middle"," "," "," "," "," "," "," ","226","233","250"," "," "," "," ","709"," ","709"
"2010-2011","16","Campbell County","650","Campbell County Elementary","36","64","61","64","57","71","76"," "," "," "," "," "," "," ","429"," ","429"
"2010-2011","16","Campbell County","130","Concord Elementary","20","76","52","53","72","71","76"," "," "," "," "," "," "," ","420"," ","420"
"2010-2011","16","Campbell County","690","Leesville Road Elementary","37","97","117","97","101","108","108"," "," "," "," "," "," "," ","665"," ","665"
"2010-2011","16","Campbell County","821","Rustburg Elementary","35","74","88","91","88","85","99"," "," "," "," "," "," "," ","560"," ","560"
"2010-2011","16","Campbell County","222","Rustburg High"," "," "," "," "," "," "," "," "," "," ","246","264","195","242","947"," ","947"
"2010-2011","16","Campbell County","211","Rustburg Middle"," "," "," "," "," "," "," ","211","213","193"," "," "," "," ","617"," ","617"
"2010-2011","16","Campbell County","60","Tomahawk Elementary","20","93","112","104","92","99","108"," "," "," "," "," "," "," ","628"," ","628"
"2010-2011","16","Campbell County","542","William Campbell High"," "," "," "," "," "," "," ","69","83","83","84","81","98","90","588"," ","588"
"2010-2011","16","Campbell County","710","Yellow Branch Elementary","68","80","93","93","73","85","76"," "," "," "," "," "," "," ","568"," ","568"
"2010-2011","17","Caroline County","620","Bowling Green Elementary"," "," "," "," ","113","130","109"," "," "," "," "," "," "," ","352"," ","352"
"2010-2011","17","Caroline County","610","Bowling Green Primary","54","125","115","121"," "," "," "," "," "," "," "," "," "," ","415"," ","415"
"2010-2011","17","Caroline County","460","Caroline High"," "," "," "," "," "," "," "," "," "," ","350","296","278","258","1,182"," ","1,182"
"2010-2011","17","Caroline County","450","Caroline Middle"," "," "," "," "," "," "," ","338","285","292"," "," "," "," ","915"," ","915"
"2010-2011","17","Caroline County","9020","Lewis & Clark Elementary","32","128","137","145","112","134","177"," "," "," "," "," "," "," ","865"," ","865"
"2010-2011","17","Caroline County","630","Madison Elementary","17","90","87","85","92","73","84"," "," "," "," "," "," "," ","528"," ","528"
"2010-2011","18","Carroll County","1230","Carroll County High"," "," "," "," "," "," "," "," "," "," "," ","311","301","262","874"," ","874"
"2010-2011","18","Carroll County","360","Carroll County Intermediate"," "," "," "," "," "," "," "," "," ","358","330"," "," "," ","688"," ","688"
"2010-2011","18","Carroll County","1180","Fancy Gap Elementary","16","26","25","31","29","35","38"," "," "," "," "," "," "," ","200"," ","200"
"2010-2011","18","Carroll County","1150","Gladesboro Elementary","11","29","12","19","23","26","29"," "," "," "," "," "," "," ","149"," ","149"
"2010-2011","18","Carroll County","1210","Gladeville Elementary","6","57","68","59","61","61","54"," "," "," "," "," "," "," ","366"," ","366"
"2010-2011","18","Carroll County","1170","Hillsville Elementary","46","84","87","69","81","101","79"," "," "," "," "," "," "," ","547"," ","547"
"2010-2011","18","Carroll County","1160","Laurel Elementary","17","46","48","59","47","49","49"," "," "," "," "," "," "," ","315"," ","315"
"2010-2011","18","Carroll County","1130","Oakland Elementary","18","44","43","48","46","42","38"," "," "," "," "," "," "," ","279"," ","279"
"2010-2011","18","Carroll County","1110","St. Paul","21","97","7","59","54","52","60","54","65"," "," "," "," "," ","469"," ","469"
"2010-2011","18","Carroll County","450","Woodlawn Elementary"," "," "," "," "," "," "," ","311","273"," "," "," "," "," ","584"," ","584"
"2010-2011","19","Charles City County","80","Charles City County Elementary","33","65","54","62","72","47","56"," "," "," "," "," "," "," ","389"," ","389"
"2010-2011","19","Charles City County","100","Charles City County High"," "," "," "," "," "," "," "," "," "," ","52","70","78","69","269"," ","269"
"2010-2011","19","Charles City County","110","Charles City County Middle"," "," "," "," "," "," "," ","59","75","52"," "," "," "," ","186"," ","186"
"2010-2011","20","Charlotte County","470","Bacon District Elementary","21","32","41","29","25","16","29"," "," "," "," "," "," "," ","193"," ","193"
"2010-2011","20","Charlotte County","210","Central Middle"," "," "," "," "," "," "," ","156","149","167"," "," "," "," ","472"," ","472"
"2010-2011","20","Charlotte County","571","Early Learning Center","81"," "," "," "," "," "," "," "," "," "," "," "," "," ","81"," ","81"
"2010-2011","20","Charlotte County","100","Eureka Elementary"," ","67","74","66","57","74","78"," "," "," "," "," "," "," ","416"," ","416"
"2010-2011","20","Charlotte County","450","J. Murray Jeffress Elementary"," "," "," "," ","41","43","50"," "," "," "," "," "," "," ","134"," ","134"
"2010-2011","20","Charlotte County","110","Phenix Elementary"," ","50","53","47"," "," "," "," "," "," "," "," "," "," ","150"," ","150"
"2010-2011","20","Charlotte County","460","Randolph Henry High"," "," "," "," "," "," "," "," "," "," ","168","186","173","152","679"," ","679"
"2010-2011","104","Charlottesville City","100","Buford Middle"," "," "," "," "," "," "," "," ","230","237"," "," "," "," ","467"," ","467"
"2010-2011","104","Charlottesville City","70","Burnley-Moran Elementary","27","69","62","70","71","51"," "," "," "," "," "," "," "," ","350"," ","350"
"2010-2011","104","Charlottesville City","140","Charlottesville High"," "," "," "," "," "," "," "," "," "," ","319","321","263","266","1,169"," ","1,169"
"2010-2011","104","Charlottesville City","50","Clark Elementary","69","45","52","43","40","28"," "," "," "," "," "," "," "," ","277"," ","277"
"2010-2011","104","Charlottesville City","90","Greenbrier Elementary","28","54","76","58","47","56"," "," "," "," "," "," "," "," ","319"," ","319"
"2010-2011","104","Charlottesville City","120","Jackson-Via Elementary","45","48","51","52","53","44"," "," "," "," "," "," "," "," ","293"," ","293"
"2010-2011","104","Charlottesville City","10","Johnson Elementary","46","62","55","49","50","41"," "," "," "," "," "," "," "," ","303"," ","303"
"2010-2011","104","Charlottesville City","40","Venable Elementary","23","56","59","54","49","57"," "," "," "," "," "," "," "," ","298"," ","298"
"2010-2011","104","Charlottesville City","110","Walker Upper Elementary"," "," "," "," "," "," ","267","287"," "," "," "," "," "," ","554"," ","554"
"2010-2011","136","Chesapeake City","630","B.M. Williams Primary","136","231","265","216"," "," "," "," "," "," "," "," "," "," ","848"," ","848"
"2010-2011","136","Chesapeake City","860","Butts Road Intermediate"," "," "," "," ","236","231","239"," "," "," "," "," "," "," ","706","4","710"
"2010-2011","136","Chesapeake City","770","Butts Road Primary","30","185","226","242"," "," "," "," "," "," "," "," "," "," ","683"," ","683"
"2010-2011","136","Chesapeake City","90","Camelot Elementary","77","83","91","87","75","92","108"," "," "," "," "," "," "," ","613"," ","613"
"2010-2011","136","Chesapeake City","900","Cedar Road Elementary","18","105","130","152","129","155","158"," "," "," "," "," "," "," ","847"," ","847"
"2010-2011","136","Chesapeake City","700","Crestwood Intermediate"," "," "," "," ","258","262","255"," "," "," "," "," "," "," ","775"," ","775"
"2010-2011","136","Chesapeake City","560","Crestwood Middle"," "," "," "," "," "," "," ","189","162","250"," "," "," "," ","601"," ","601"
"2010-2011","136","Chesapeake City","660","Deep Creek Central Elementary","17","68","78","104","108","87","81"," "," "," "," "," "," "," ","543"," ","543"
"2010-2011","136","Chesapeake City","210","Deep Creek Elementary","24","113","118","90","111","121","110"," "," "," "," "," "," "," ","687"," ","687"
"2010-2011","136","Chesapeake City","100","Deep Creek High"," "," "," "," "," "," "," "," "," "," ","425","335","297","259","1,316"," ","1,316"
"2010-2011","136","Chesapeake City","610","Deep Creek Middle"," "," "," "," "," "," "," ","163","139","168"," "," "," "," ","470"," ","470"
"2010-2011","136","Chesapeake City","640","Edwin W. Chittum Elementary","16","86","128","108","115","125","139"," "," "," "," "," "," "," ","717"," ","717"
"2010-2011","136","Chesapeake City","720","G.A. Treakle Elementary","12","80","83","90","90","73","79"," "," "," "," "," "," "," ","507"," ","507"
"2010-2011","136","Chesapeake City","50","George W. Carver Intermediate","72"," "," "," ","171","178","145"," "," "," "," "," "," "," ","566"," ","566"
"2010-2011","136","Chesapeake City","820","Georgetown Primary","77","171","198","191","174"," "," "," "," "," "," "," "," "," ","811"," ","811"
"2010-2011","136","Chesapeake City","950","Grassfield Elementary","19","111","138","146","143","144","187"," "," "," "," "," "," "," ","888","1","889"
"2010-2011","136","Chesapeake City","960","Grassfield High"," "," "," "," "," "," "," "," "," "," ","543","531","527","505","2,106"," ","2,106"
"2010-2011","136","Chesapeake City","120","Great Bridge High"," "," "," "," "," "," "," "," "," "," ","425","461","389","398","1,673","1","1,674"
"2010-2011","136","Chesapeake City","850","Great Bridge Intermediate"," "," "," "," ","170","195","209"," "," "," "," "," "," "," ","574","1","575"
"2010-2011","136","Chesapeake City","590","Great Bridge Middle"," "," "," "," "," "," "," ","361","385","425"," "," "," "," ","1,171"," ","1,171"
"2010-2011","136","Chesapeake City","680","Great Bridge Primary","37","176","168","185"," "," "," "," "," "," "," "," "," "," ","566","1","567"
"2010-2011","136","Chesapeake City","870","Greenbrier Intermediate"," "," "," "," ","216","207","217"," "," "," "," "," "," "," ","640"," ","640"
"2010-2011","136","Chesapeake City","972","Greenbrier Middle"," "," "," "," "," "," "," ","295","304","307"," "," "," "," ","906"," ","906"
"2010-2011","136","Chesapeake City","140","Greenbrier Primary","39","172","213","208"," "," "," "," "," "," "," "," "," "," ","632","2","634"
"2010-2011","136","Chesapeake City","340","Hickory Elementary","10","57","85","65","71","59","72"," "," "," "," "," "," "," ","419"," ","419"
"2010-2011","136","Chesapeake City","890","Hickory High"," "," "," "," "," "," "," "," "," "," ","470","465","493","494","1,922"," ","1,922"
"2010-2011","136","Chesapeake City","280","Hickory Middle"," "," "," "," "," "," "," ","517","584","612"," "," "," "," ","1,713","1","1,714"
"2010-2011","136","Chesapeake City","920","Hugo A. Owens Middle"," "," "," "," "," "," "," ","358","387","337"," "," "," "," ","1,082"," ","1,082"
"2010-2011","136","Chesapeake City","830","Indian River High"," "," "," "," "," "," "," "," "," "," ","456","452","375","438","1,721"," ","1,721"
"2010-2011","136","Chesapeake City","710","Indian River Middle"," "," "," "," "," "," "," ","281","244","236"," "," "," "," ","761"," ","761"
"2010-2011","136","Chesapeake City","973","Jolliff Middle"," "," "," "," "," "," "," ","243","220","253"," "," "," "," ","716"," ","716"
"2010-2011","136","Chesapeake City","160","Norfolk Highlands Primary","19","84","78","87","65"," "," "," "," "," "," "," "," "," ","333"," ","333"
"2010-2011","136","Chesapeake City","80","Oscar F. Smith High"," "," "," "," "," "," "," "," "," "," ","661","581","449","486","2,177","1","2,178"
"2010-2011","136","Chesapeake City","10","Oscar Smith Middle"," "," "," "," "," "," "," ","342","325","299"," "," "," "," ","966","1","967"
"2010-2011","136","Chesapeake City","730","Portlock Primary","26","199","170","163"," "," "," "," "," "," "," "," "," "," ","558"," ","558"
"2010-2011","136","Chesapeake City","200","Rena B. Wright Primary","15","94","106","101"," "," "," "," "," "," "," "," "," "," ","316"," ","316"
"2010-2011","136","Chesapeake City","620","Southeastern Elementary","20","86","110","127","126","132","139"," "," "," "," "," "," "," ","740"," ","740"
"2010-2011","136","Chesapeake City","600","Southwestern Elementary","62","74","86","78","101","86","119"," "," "," "," "," "," "," ","606"," ","606"
"2010-2011","136","Chesapeake City","750","Sparrow Road Intermediate"," "," "," "," "," ","237","236"," "," "," "," "," "," "," ","473"," ","473"
"2010-2011","136","Chesapeake City","40","Thurgood Marshall Elementary","11","100","109","77","91","77","79"," "," "," "," "," "," "," ","544"," ","544"
"2010-2011","136","Chesapeake City","971","Truitt Intermediate"," "," "," "," ","102","94","91"," "," "," "," "," "," "," ","287","1","288"
"2010-2011","136","Chesapeake City","840","Western Branch High"," "," "," "," "," "," "," "," "," "," ","575","594","501","561","2,231"," ","2,231"
"2010-2011","136","Chesapeake City","810","Western Branch Intermediate"," "," "," "," ","251","229","301"," "," "," "," "," "," "," ","781"," ","781"
"2010-2011","136","Chesapeake City","740","Western Branch Middle"," "," "," "," "," "," "," ","303","295","294"," "," "," "," ","892"," ","892"
"2010-2011","136","Chesapeake City","110","Western Branch Primary","42","206","207","209"," "," "," "," "," "," "," "," "," "," ","664","1","665"
"2010-2011","21","Chesterfield County","620","A.M. Davis Elementary","42","109","113","107","97","98","111"," "," "," "," "," "," "," ","677"," ","677"
"2010-2011","21","Chesterfield County","861","Alberta Smith Elementary","15","109","114","115","121","108","119"," "," "," "," "," "," "," ","701","2","703"
"2010-2011","21","Chesterfield County","631","Bailey Bridge Middle"," "," "," "," "," "," "," ","516","450","460"," "," "," "," ","1,426","1","1,427"
"2010-2011","21","Chesterfield County","660","Bellwood Elementary","17","77","68","83","60","61","74"," "," "," "," "," "," "," ","440","5","445"
"2010-2011","21","Chesterfield County","430","Bensley Elementary","19","121","119","103","100","101","100"," "," "," "," "," "," "," ","663"," ","663"
"2010-2011","21","Chesterfield County","510","Bettie Weaver Elementary"," ","104","137","142","116","156","146"," "," "," "," "," "," "," ","801"," ","801"
"2010-2011","21","Chesterfield County","130","Beulah Elementary","31","93","92","97","86","85","100"," "," "," "," "," "," "," ","584"," ","584"
"2010-2011","21","Chesterfield County","20","Bon Air Elementary"," ","112","100","93","91","78","92"," "," "," "," "," "," "," ","566"," ","566"
"2010-2011","21","Chesterfield County","50","C.C. Wells Elementary"," ","108","120","115","114","121","120"," "," "," "," "," "," "," ","698"," ","698"
"2010-2011","21","Chesterfield County","492","C.E. Curtis Elementary","8","113","108","116","111","120","138"," "," "," "," "," "," "," ","714"," ","714"
"2010-2011","21","Chesterfield County","420","Carver Middle"," "," "," "," "," "," "," ","358","368","396"," "," "," "," ","1,122","1","1,123"
"2010-2011","21","Chesterfield County","30","Chesterfield Community High"," "," "," "," "," "," "," "," "," "," ","97","124","44","101","366","3","369"
"2010-2011","21","Chesterfield County","150","Clover Hill Elementary","5","149","124","158","140","125","144"," "," "," "," "," "," "," ","845"," ","845"
"2010-2011","21","Chesterfield County","740","Clover Hill High"," "," "," "," "," "," "," "," "," "," ","496","424","407","440","1,767","3","1,770"
"2010-2011","21","Chesterfield County","840","Cosby High"," "," "," "," "," "," "," "," "," "," ","537","515","485","542","2,079","2","2,081"
"2010-2011","21","Chesterfield County","560","Crestwood Elementary"," ","94","101","86","85","99","86"," "," "," "," "," "," "," ","551"," ","551"
"2010-2011","21","Chesterfield County","480","Ecoff Elementary","6","137","113","117","136","139","111"," "," "," "," "," "," "," ","759"," ","759"
