"School Year","Division Number","Division Name","School Number","School Name","Grade PK","Grade KG","Grade 1","Grade 2","Grade 3","Grade 4","Grade 5","Grade 6","Grade 7","Grade 8","Grade 9","Grade 10","Grade 11","Grade 12","Full Time Count (All Grades)","Part Time Count (All Grades)","Total Count"
"2019-2020","121","Portsmouth City","310","William E. Waters Middle"," "," "," "," "," "," "," "," ","263","282"," "," "," "," ","545"," ","545"
"2019-2020","121","Portsmouth City","1660","Woodrow Wilson High"," "," "," "," "," "," "," "," "," "," ","424","275","307","264","1,270"," ","1,270"
"2019-2020","72","Powhatan County","21","Flat Rock Elementary","34","112","99","109","108","95","122"," "," "," "," "," "," "," ","679"," ","679"
"2019-2020","72","Powhatan County","231","Pocahontas Elementary","35","123","110","107","141","136","101"," "," "," "," "," "," "," ","753"," ","753"
"2019-2020","72","Powhatan County","13","Powhatan Elementary"," ","72","73","69","84","85","82"," "," "," "," "," "," "," ","465"," ","465"
"2019-2020","72","Powhatan County","11","Powhatan High"," "," "," "," "," "," "," "," "," "," ","384","356","332","340","1,412","9","1,421"
"2019-2020","72","Powhatan County","130","Powhatan Middle"," "," "," "," "," "," "," ","335","330","372"," "," "," "," ","1,037","1","1,038"
"2019-2020","73","Prince Edward County","400","Prince Edward County High"," "," "," "," "," "," "," "," "," "," ","179","183","125","123","610"," ","610"
"2019-2020","73","Prince Edward County","10","Prince Edward Elementary","107","152","127","160","138","154"," "," "," "," "," "," "," "," ","838","2","840"
"2019-2020","73","Prince Edward County","20","Prince Edward Middle"," "," "," "," "," "," ","154","164","148","141"," "," "," "," ","607"," ","607"
"2019-2020","74","Prince George County","340","David A. Harrison Elementary","29","89","99","87","97","93","83"," "," "," "," "," "," "," ","577"," ","577"
"2019-2020","74","Prince George County","320","J.E.J. Moore Middle"," "," "," "," "," "," "," ","512","528","501"," "," "," "," ","1,541"," ","1,541"
"2019-2020","74","Prince George County","310","L.L. Beazley Elementary","23","96","94","108","97","104","102"," "," "," "," "," "," "," ","624"," ","624"
"2019-2020","74","Prince George County","290","North Elementary","26","129","118","126","123","119","130"," "," "," "," "," "," "," ","771"," ","771"
"2019-2020","74","Prince George County","20","Prince George High"," "," "," "," "," "," "," "," "," "," ","448","482","414","441","1,785"," ","1,785"
"2019-2020","74","Prince George County","300","South Elementary","25","79","77","79","67","77","90"," "," "," "," "," "," "," ","494"," ","494"
"2019-2020","74","Prince George County","280","William A. Walton Elementary","22","92","97","87","87","77","99"," "," "," "," "," "," "," ","561"," ","561"
"2019-2020","75","Prince William County","330","A. Henderson Elementary","4","113","143","145","122","151","126"," "," "," "," "," "," "," ","804"," ","804"
"2019-2020","75","Prince William County","760","Antietam Elementary","29","129","116","138","136","132","145"," "," "," "," "," "," "," ","825"," ","825"
"2019-2020","75","Prince William County","200","Ashland Elementary","21","141","137","140","141","144","154"," "," "," "," "," "," "," ","878"," ","878"
"2019-2020","75","Prince William County","290","Battlefield High"," "," "," "," "," "," "," "," "," "," ","697","776","704","785","2,962","13","2,975"
"2019-2020","75","Prince William County","670","Bel Air Elementary","19","61","67","61","69","74","61"," "," "," "," "," "," "," ","412"," ","412"
"2019-2020","75","Prince William County","600","Belmont Elementary","42","95","90","84","81","97","77"," "," "," "," "," "," "," ","566"," ","566"
"2019-2020","75","Prince William County","840","Bennett Elementary","7","122","120","120","117","126","124"," "," "," "," "," "," "," ","736"," ","736"
"2019-2020","75","Prince William County","530","Brentsville District High"," "," "," "," "," "," "," "," "," "," ","224","286","242","246","998"," ","998"
"2019-2020","75","Prince William County","860","Bristow Run Elementary","40","92","96","89","131","96","119"," "," "," "," "," "," "," ","663"," ","663"
"2019-2020","75","Prince William County","950","Buckland Mills Elementary","3","111","123","111","116","117","125"," "," "," "," "," "," "," ","706"," ","706"
"2019-2020","75","Prince William County","920","Bull Run Middle"," "," "," "," "," "," "," ","387","421","401"," "," "," "," ","1,209"," ","1,209"
"2019-2020","75","Prince William County","620","C.A. Sinclair Elementary","19","142","144","123","124","131","126"," "," "," "," "," "," "," ","809"," ","809"
"2019-2020","75","Prince William County","710","C.D. Hylton High","17"," "," "," "," "," "," "," "," "," ","549","569","541","557","2,233"," ","2,233"
"2019-2020","75","Prince William County","900","Cedar Point Elementary","2","96","70","102","92","98","114"," "," "," "," "," "," "," ","574"," ","574"
"2019-2020","75","Prince William County","5010","Charles J. Colgan Sr. High","18"," "," "," "," "," "," "," "," "," ","705","688","712","705","2,828","1","2,829"
"2019-2020","75","Prince William County","970","Chris Yung Elementary","35","119","140","112","131","111","112"," "," "," "," "," "," "," ","760"," ","760"
"2019-2020","75","Prince William County","660","Coles Elementary","7","77","61","65","63","81","62"," "," "," "," "," "," "," ","416"," ","416"
"2019-2020","75","Prince William County","309","Covington-Harper Elementary School","41","114","119","125","101","118","102"," "," "," "," "," "," "," ","720"," ","720"
"2019-2020","75","Prince William County","610","Dale City Elementary","21","68","62","71","66","70","77"," "," "," "," "," "," "," ","435"," ","435"
"2019-2020","75","Prince William County","280","Dumfries Elementary","29","79","80","67","72","72","74"," "," "," "," "," "," "," ","473"," ","473"
"2019-2020","75","Prince William County","490","E.H. Marsteller Middle"," "," "," "," "," "," "," ","413","445","432"," "," "," "," ","1,290"," ","1,290"
"2019-2020","75","Prince William County","580","Elizabeth Vaughan Elementary","17","92","119","90","107","94","94"," "," "," "," "," "," "," ","613"," ","613"
"2019-2020","75","Prince William County","120","Enterprise Elementary","18","55","55","71","61","62","54"," "," "," "," "," "," "," ","376"," ","376"
"2019-2020","75","Prince William County","370","Fannie W. Fitzgerald Elementary","11","139","143","155","122","139","129"," "," "," "," "," "," "," ","838"," ","838"
"2019-2020","75","Prince William County","450","Featherstone Elementary","20","74","88","83","92","75","72"," "," "," "," "," "," "," ","504"," ","504"
