"School Year","Division Number","Division Name","School Number","School Name","Full Time Count (All Grades)","Part Time Count (All Grades)","Total Count"
"2010-2011","7","Arlington County","615","Campbell Elementary","402"," ","402"
"2010-2011","7","Arlington County","90","Carlin Springs Elementary","606"," ","606"
"2010-2011","7","Arlington County","622","Claremont Immersion","528"," ","528"
"2010-2011","7","Arlington County","200","Drew Model Elementary","551"," ","551"
"2010-2011","7","Arlington County","111","Francis Scott Key Elementary","656"," ","656"
"2010-2011","7","Arlington County","100","Glebe Elementary","475"," ","475"
"2010-2011","7","Arlington County","611","Gunston Middle","755"," ","755"
"2010-2011","7","Arlington County","160","Henry Elementary","395"," ","395"
"2010-2011","7","Arlington County","614","Hoffman-Boston Elementary","389"," ","389"
"2010-2011","7","Arlington County","440","Jamestown Elementary","581"," ","581"
"2010-2011","7","Arlington County","180","Jefferson Middle","640"," ","640"
"2010-2011","7","Arlington County","500","Kenmore Middle","745"," ","745"
"2010-2011","7","Arlington County","460","Long Branch Elementary","546"," ","546"
"2010-2011","7","Arlington County","380","McKinley Elementary","491"," ","491"
"2010-2011","7","Arlington County","410","Nottingham Elementary","586"," ","586"
"2010-2011","7","Arlington County","360","Oakridge Elementary","618"," ","618"
"2010-2011","7","Arlington County","510","Randolph Elementary","438"," ","438"
"2010-2011","7","Arlington County","240","Swanson Middle","954"," ","954"
"2010-2011","7","Arlington County","420","Taylor Elementary","686"," ","686"
"2010-2011","7","Arlington County","211","Tuckahoe Elementary","642"," ","642"
"2010-2011","7","Arlington County","450","Wakefield High","1,709"," ","1,709"
"2010-2011","7","Arlington County","80","Washington-Lee High","2,223","1","2,224"
"2010-2011","7","Arlington County","480","Williamsburg Middle","1,013"," ","1,013"
"2010-2011","7","Arlington County","330","Yorktown High","1,969"," ","1,969"
"2010-2011","8","Augusta County","210","Beverley Manor Elementary","341"," ","341"
"2010-2011","8","Augusta County","212","Beverley Manor Middle","751"," ","751"
"2010-2011","8","Augusta County","660","Buffalo Gap High","571"," ","571"
"2010-2011","8","Augusta County","30","Cassell Elementary","489"," ","489"
"2010-2011","8","Augusta County","140","Churchville Elementary","332"," ","332"
"2010-2011","8","Augusta County","370","Craigsville Elementary","158"," ","158"
"2010-2011","8","Augusta County","842","Edward G. Clymore Elementary","699"," ","699"
"2010-2011","8","Augusta County","670","Fort Defiance High","871"," ","871"
"2010-2011","8","Augusta County","843","Guy K. Stump Elementary","342"," ","342"
