"School Year","Division Number","Division Name","School Number","School Name","Full Time Count (All Grades)","Part Time Count (All Grades)","Total Count"
"2012-2013","128","Virginia Beach City","300","Shelton Park Elementary","433"," ","433"
"2012-2013","128","Virginia Beach City","940","Strawbridge Elementary","730"," ","730"
"2012-2013","128","Virginia Beach City","910","Tallwood Elementary","612"," ","612"
"2012-2013","128","Virginia Beach City","920","Tallwood High","2,010"," ","2,010"
"2012-2013","128","Virginia Beach City","350","Thalia Elementary","644"," ","644"
"2012-2013","128","Virginia Beach City","400","Thoroughgood Elementary","703"," ","703"
"2012-2013","128","Virginia Beach City","100","Three Oaks Elementary","822"," ","822"
"2012-2013","128","Virginia Beach City","510","Trantwood Elementary","517"," ","517"
"2012-2013","128","Virginia Beach City","140","Virginia Beach Middle","912"," ","912"
"2012-2013","128","Virginia Beach City","130","W.T. Cooke Elementary","557"," ","557"
"2012-2013","128","Virginia Beach City","20","White Oaks Elementary","739"," ","739"
"2012-2013","128","Virginia Beach City","470","Williams Elementary","409"," ","409"
"2012-2013","128","Virginia Beach City","670","Windsor Oaks Elementary","625"," ","625"
"2012-2013","128","Virginia Beach City","560","Windsor Woods Elementary","397"," ","397"
"2012-2013","128","Virginia Beach City","390","Woodstock Elementary","684"," ","684"
"2012-2013","93","Warren County","90","A.S. Rhodes Elementary","273"," ","273"
"2012-2013","93","Warren County","140","E. Wilson Morrison Elementary","488"," ","488"
"2012-2013","93","Warren County","371","Hilda J. Barbour Elementary","543","2","545"
"2012-2013","93","Warren County","20","Leslie Fox Keyser Elementary","584"," ","584"
"2012-2013","93","Warren County","240","Ressie Jeffries Elementary","650"," ","650"
"2012-2013","93","Warren County","250","Skyline High","1,111","1","1,112"
"2012-2013","93","Warren County","230","Warren County High","1,036","4","1,040"
"2012-2013","93","Warren County","270","Warren County Middle","813","2","815"
"2012-2013","94","Washington County","1080","Abingdon Elementary","481"," ","481"
"2012-2013","94","Washington County","1030","Abingdon High","869","1","870"
"2012-2013","94","Washington County","40","Damascus Middle","236"," ","236"
"2012-2013","94","Washington County","1110","E.B. Stanley Middle","695"," ","695"
"2012-2013","94","Washington County","1090","Glade Spring Middle","313"," ","313"
"2012-2013","94","Washington County","260","Greendale Elementary","341"," ","341"
"2012-2013","94","Washington County","1070","High Point Elementary","625"," ","625"
"2012-2013","94","Washington County","1060","Holston High","289"," ","289"
"2012-2013","94","Washington County","1040","John S. Battle High","615","2","617"
"2012-2013","94","Washington County","20","Meadowview Elementary","620"," ","620"
"2012-2013","94","Washington County","1050","Patrick Henry High","417"," ","417"
"2012-2013","94","Washington County","50","Rhea Valley Elementary","500"," ","500"
"2012-2013","94","Washington County","1020","Valley Institute Elementary","326"," ","326"
"2012-2013","94","Washington County","620","Wallace Middle","459"," ","459"
"2012-2013","94","Washington County","70","Watauga Elementary","597"," ","597"
"2012-2013","130","Waynesboro City","650","Berkeley Glenn Elementary","344"," ","344"
"2012-2013","130","Waynesboro City","640","Kate Collins Middle","662","3","665"
"2012-2013","130","Waynesboro City","620","Wayne Hills Center","164"," ","164"
"2012-2013","130","Waynesboro City","600","Waynesboro High","868","2","870"
"2012-2013","130","Waynesboro City","580","Wenonah Elementary","263","1","264"
"2012-2013","130","Waynesboro City","630","Westwood Hills Elementary","473","1","474"
"2012-2013","130","Waynesboro City","751","William Perry Elementary","474","1","475"
"2012-2013","207","West Point","280","West Point Elementary","326"," ","326"
"2012-2013","207","West Point","290","West Point High","250"," ","250"
"2012-2013","207","West Point","391","West Point Middle","192"," ","192"
"2012-2013","95","Westmoreland County","210","Cople Elementary","396"," ","396"
"2012-2013","95","Westmoreland County","300","Montross Middle","361"," ","361"
"2012-2013","95","Westmoreland County","120","Washington & Lee High","483"," ","483"
"2012-2013","95","Westmoreland County","310","Washington District Elementary","450"," ","450"
"2012-2013","131","Williamsburg-James City County","60","Berkeley Middle","942"," ","942"
"2012-2013","131","Williamsburg-James City County","40","Clara Byrd Baker Elementary","556"," ","556"
"2012-2013","131","Williamsburg-James City County","80","D.J. Montague Elementary","423"," ","423"
"2012-2013","131","Williamsburg-James City County","190","J. Blaine Blayton Elementary","530"," ","530"
"2012-2013","131","Williamsburg-James City County","201","James River Elementary","550"," ","550"
"2012-2013","131","Williamsburg-James City County","202","Jamestown High","1,211"," ","1,211"
"2012-2013","131","Williamsburg-James City County","90","Lafayette High","1,098"," ","1,098"
"2012-2013","131","Williamsburg-James City County","191","Lois Hornsby Middle","917"," ","917"
"2012-2013","131","Williamsburg-James City County","205","Matoaka Elementary","711"," ","711"
"2012-2013","131","Williamsburg-James City County","10","Matthew Whaley Elementary","472"," ","472"
"2012-2013","131","Williamsburg-James City County","70","Norge Elementary","653"," ","653"
"2012-2013","131","Williamsburg-James City County","50","Rawls Byrd Elementary","494"," ","494"
"2012-2013","131","Williamsburg-James City County","203","Stonehouse Elementary","665"," ","665"
"2012-2013","131","Williamsburg-James City County","100","Toano Middle","693"," ","693"
"2012-2013","131","Williamsburg-James City County","204","Warhill High","1,109"," ","1,109"
"2012-2013","132","Winchester City","70","Daniel Morgan Middle","1,212"," ","1,212"
"2012-2013","132","Winchester City","80","Frederick Douglass Elementary","486"," ","486"
"2012-2013","132","Winchester City","50","Garland R. Quarles Elementary","509"," ","509"
"2012-2013","132","Winchester City","40","John Handley High","1,188"," ","1,188"
"2012-2013","132","Winchester City","60","John Kerr Elementary","359"," ","359"
"2012-2013","132","Winchester City","20","Virginia Avenue Charlotte Dehart Elementary","476"," ","476"
"2012-2013","96","Wise County","20","Appalachia Elementary","355"," ","355"
"2012-2013","96","Wise County","1000","Central High","669"," ","669"
"2012-2013","96","Wise County","651","Coeburn Middle","402"," ","402"
"2012-2013","96","Wise County","653","Coeburn Primary","527"," ","527"
"2012-2013","96","Wise County","652","Eastside High","432"," ","432"
"2012-2013","96","Wise County","73","J.W. Adams Combined","559"," ","559"
"2012-2013","96","Wise County","320","L.F. Addington Middle","464"," ","464"
"2012-2013","96","Wise County","1013","Powell Valley Middle","539"," ","539"
"2012-2013","96","Wise County","1012","Powell Valley Primary","645"," ","645"
"2012-2013","96","Wise County","871","St. Paul Elementary","183"," ","183"
"2012-2013","96","Wise County","1010","Union High","641"," ","641"
"2012-2013","96","Wise County","1020","Wise Primary","694"," ","694"
"2012-2013","97","Wythe County","760","Fort Chiswell High","458"," ","458"
"2012-2013","97","Wythe County","1073","Fort Chiswell Middle","424"," ","424"
"2012-2013","97","Wythe County","721","George Wythe High","440"," ","440"
"2012-2013","97","Wythe County","730","Jackson Memorial Elementary","222"," ","222"
"2012-2013","97","Wythe County","100","Max Meadows Elementary","282"," ","282"
"2012-2013","97","Wythe County","201","Rural Retreat Elementary","414"," ","414"
"2012-2013","97","Wythe County","202","Rural Retreat High","328","1","329"
"2012-2013","97","Wythe County","1074","Rural Retreat Middle","267"," ","267"
"2012-2013","97","Wythe County","1075","Scott Memorial Middle","361"," ","361"
"2012-2013","97","Wythe County","740","Sheffey Elementary","309"," ","309"
"2012-2013","97","Wythe County","440","Speedwell Elementary","156"," ","156"
"2012-2013","97","Wythe County","190","Spiller Elementary","715","1","716"
"2012-2013","98","York County","180","Bethel Manor Elementary","442"," ","442"
"2012-2013","98","York County","20","Bruton High","601"," ","601"
"2012-2013","98","York County","90","Coventry Elementary","610"," ","610"
"2012-2013","98","York County","160","Dare Elementary","420"," ","420"
"2012-2013","98","York County","140","Grafton Bethel Elementary","614"," ","614"
"2012-2013","98","York County","332","Grafton High","1,299"," ","1,299"
"2012-2013","98","York County","333","Grafton Middle","858"," ","858"
"2012-2013","98","York County","10","Magruder Elementary","639"," ","639"
"2012-2013","98","York County","80","Mount Vernon Elementary","568"," ","568"
"2012-2013","98","York County","200","Queens Lake Middle","452"," ","452"
"2012-2013","98","York County","170","Seaford Elementary","494"," ","494"
"2012-2013","98","York County","50","Tabb Elementary","637"," ","637"
"2012-2013","98","York County","230","Tabb High","1,115"," ","1,115"
"2012-2013","98","York County","190","Tabb Middle","837"," ","837"
"2012-2013","98","York County","220","Waller Mill Elementary","274"," ","274"
"2012-2013","98","York County","30","York High","1,079"," ","1,079"
"2012-2013","98","York County","335","York River Academy","69"," ","69"
"2012-2013","98","York County","210","Yorktown Elementary","666"," ","666"
"2012-2013","98","York County","60","Yorktown Middle","747"," ","747"
"2013-2014","1","Accomack County","701","Accawmacke Elementary","551"," ","551"
"2013-2014","1","Accomack County","540","Arcadia High","579"," ","579"
"2013-2014","1","Accomack County","704","Arcadia Middle","478"," ","478"
"2013-2014","1","Accomack County","80","Chincoteague Elementary","238"," ","238"
"2013-2014","1","Accomack County","580","Chincoteague High","301"," ","301"
"2013-2014","1","Accomack County","600","Kegotank Elementary","650"," ","650"
"2013-2014","1","Accomack County","702","Metompkin Elementary","637"," ","637"
"2013-2014","1","Accomack County","70","Nandua High","670"," ","670"
"2013-2014","1","Accomack County","703","Nandua Middle","547"," ","547"
"2013-2014","1","Accomack County","590","Pungoteague Elementary","530"," ","530"
"2013-2014","1","Accomack County","530","Tangier Combined","66"," ","66"
"2013-2014","2","Albemarle County","160","Agnor-Hurt Elementary","508"," ","508"
"2013-2014","2","Albemarle County","1060","Albemarle County Community Public Charter","42"," ","42"
"2013-2014","2","Albemarle County","880","Albemarle High","1,868","7","1,875"
"2013-2014","2","Albemarle County","1053","Baker-Butler Elementary","608"," ","608"
"2013-2014","2","Albemarle County","900","Benjamin F. Yancey Elementary","149"," ","149"
"2013-2014","2","Albemarle County","100","Broadus Wood Elementary","311"," ","311"
"2013-2014","2","Albemarle County","941","Brownsville Elementary","680"," ","680"
"2013-2014","2","Albemarle County","340","Crozet Elementary","328"," ","328"
"2013-2014","2","Albemarle County","10","Hollymead Elementary","485"," ","485"
"2013-2014","2","Albemarle County","950","Jack Jouett Middle","618"," ","618"
"2013-2014","2","Albemarle County","69","Jackson P. Burley Middle","558","2","560"
"2013-2014","2","Albemarle County","942","Joseph T. Henley Middle","815"," ","815"
"2013-2014","2","Albemarle County","20","Leslie H. Walton Middle","356"," ","356"
"2013-2014","2","Albemarle County","40","Mary Carr Greer Elementary","572"," ","572"
"2013-2014","2","Albemarle County","250","Meriwether Lewis Elementary","407"," ","407"
"2013-2014","2","Albemarle County","1052","Monticello High","1,104"," ","1,104"
"2013-2014","2","Albemarle County","1051","Mortimer Y. Sutherland Middle","584","1","585"
"2013-2014","2","Albemarle County","890","Murray High","109"," ","109"
"2013-2014","2","Albemarle County","150","Paul H. Cale Elementary","625"," ","625"
"2013-2014","2","Albemarle County","540","Red Hill Elementary","158"," ","158"
"2013-2014","2","Albemarle County","30","Scottsville Elementary","175"," ","175"
"2013-2014","2","Albemarle County","920","Stone Robinson Elementary","444"," ","444"
"2013-2014","2","Albemarle County","240","Stony Point Elementary","271"," ","271"
"2013-2014","2","Albemarle County","910","Virginia L. Murray Elementary","269"," ","269"
"2013-2014","2","Albemarle County","140","Western Albemarle High","1,017","2","1,019"
"2013-2014","2","Albemarle County","930","Woodbrook Elementary","359"," ","359"
"2013-2014","101","Alexandria City","120","Charles Barrett Elementary","445","4","449"
"2013-2014","101","Alexandria City","160","Cora Kelly Magnet Elementary","374","4","378"
"2013-2014","101","Alexandria City","110","Douglas Macarthur Elementary","705","4","709"
"2013-2014","101","Alexandria City","170","Francis C. Hammond Middle","467"," ","467"
"2013-2014","101","Alexandria City","250","Francis Hammond 2 Middle","457"," ","457"
"2013-2014","101","Alexandria City","260","Francis Hammond 3 Middle","465"," ","465"
"2013-2014","101","Alexandria City","100","George Mason Elementary","511","8","519"
"2013-2014","101","Alexandria City","240","George Washington 2 Middle","579","1","580"
"2013-2014","101","Alexandria City","10","George Washington Middle","587","2","589"
"2013-2014","101","Alexandria City","220","James K. Polk Elementary","691","13","704"
"2013-2014","101","Alexandria City","90","Jefferson-Houston Elementary","357","7","364"
"2013-2014","101","Alexandria City","230","John Adams Elementary","878","12","890"
"2013-2014","101","Alexandria City","80","Lyles-Crouch Elementary","439","9","448"
"2013-2014","101","Alexandria City","60","Maury Elementary","418","7","425"
"2013-2014","101","Alexandria City","30","Mount Vernon Elementary","768","10","778"
"2013-2014","101","Alexandria City","50","Patrick Henry Elementary","586","7","593"
"2013-2014","101","Alexandria City","333","Samuel W. Tucker Elementary","739","7","746"
"2013-2014","101","Alexandria City","210","T.C. Williams High","3,324","1","3,325"
"2013-2014","101","Alexandria City","190","William Ramsay Elementary","832","5","837"
"2013-2014","3","Alleghany County","310","Alleghany High","851"," ","851"
"2013-2014","3","Alleghany County","110","Callaghan Elementary","234"," ","234"
"2013-2014","3","Alleghany County","1040","Clifton Middle","585"," ","585"
"2013-2014","3","Alleghany County","1041","Mountain View Elementary","596"," ","596"
"2013-2014","3","Alleghany County","90","Sharon Elementary","208"," ","208"
"2013-2014","4","Amelia County","220","Amelia County Elementary","684"," ","684"
"2013-2014","4","Amelia County","10","Amelia County High","564"," ","564"
"2013-2014","4","Amelia County","210","Amelia County Middle","545"," ","545"
"2013-2014","5","Amherst County","780","Amelon Elementary","504"," ","504"
"2013-2014","5","Amherst County","750","Amherst County High","1,346"," ","1,346"
"2013-2014","5","Amherst County","790","Amherst Elementary","313"," ","313"
"2013-2014","5","Amherst County","670","Amherst Middle","382"," ","382"
"2013-2014","5","Amherst County","770","Central Elementary","292"," ","292"
"2013-2014","5","Amherst County","760","Elon Elementary","259"," ","259"
"2013-2014","5","Amherst County","500","Madison Heights Elementary","480"," ","480"
"2013-2014","5","Amherst County","20","Monelison Middle","560"," ","560"
"2013-2014","5","Amherst County","240","Pleasant View Elementary","70"," ","70"
"2013-2014","5","Amherst County","740","Temperance Elementary","85"," ","85"
"2013-2014","6","Appomattox County","260","Appomattox County High","727"," ","727"
"2013-2014","6","Appomattox County","110","Appomattox Elementary","486"," ","486"
"2013-2014","6","Appomattox County","160","Appomattox Middle","538"," ","538"
"2013-2014","6","Appomattox County","250","Appomattox Primary","594"," ","594"
"2013-2014","7","Arlington County","350","Abingdon Elementary","579"," ","579"
"2013-2014","7","Arlington County","618","Arlington Mill High","214"," ","214"
"2013-2014","7","Arlington County","613","Arlington Science Focus","609"," ","609"
"2013-2014","7","Arlington County","470","Arlington Traditional","503"," ","503"
"2013-2014","7","Arlington County","490","Ashlawn Elementary","568"," ","568"
"2013-2014","7","Arlington County","150","Barcroft Elementary","499"," ","499"
"2013-2014","7","Arlington County","250","Barrett Elementary","547"," ","547"
"2013-2014","7","Arlington County","615","Campbell Elementary","430"," ","430"
"2013-2014","7","Arlington County","90","Carlin Springs Elementary","584"," ","584"
"2013-2014","7","Arlington County","622","Claremont Immersion","727"," ","727"
"2013-2014","7","Arlington County","200","Drew Model Elementary","640"," ","640"
"2013-2014","7","Arlington County","111","Francis Scott Key Elementary","676"," ","676"
"2013-2014","7","Arlington County","100","Glebe Elementary","563"," ","563"
"2013-2014","7","Arlington County","611","Gunston Middle","839"," ","839"
"2013-2014","7","Arlington County","160","Henry Elementary","460"," ","460"
"2013-2014","7","Arlington County","614","Hoffman-Boston Elementary","408"," ","408"
"2013-2014","7","Arlington County","440","Jamestown Elementary","605"," ","605"
"2013-2014","7","Arlington County","180","Jefferson Middle","877"," ","877"
"2013-2014","7","Arlington County","500","Kenmore Middle","857"," ","857"
"2013-2014","7","Arlington County","460","Long Branch Elementary","541"," ","541"
"2013-2014","7","Arlington County","380","McKinley Elementary","536"," ","536"
"2013-2014","7","Arlington County","410","Nottingham Elementary","726"," ","726"
"2013-2014","7","Arlington County","360","Oakridge Elementary","704"," ","704"
"2013-2014","7","Arlington County","510","Randolph Elementary","428"," ","428"
"2013-2014","7","Arlington County","240","Swanson Middle","1,057"," ","1,057"
"2013-2014","7","Arlington County","420","Taylor Elementary","737"," ","737"
"2013-2014","7","Arlington County","211","Tuckahoe Elementary","684"," ","684"
"2013-2014","7","Arlington County","450","Wakefield High","1,694"," ","1,694"
"2013-2014","7","Arlington County","80","Washington-Lee High","2,203","1","2,204"
"2013-2014","7","Arlington County","480","Williamsburg Middle","1,061"," ","1,061"
"2013-2014","7","Arlington County","330","Yorktown High","1,943"," ","1,943"
"2013-2014","8","Augusta County","210","Beverley Manor Elementary","366"," ","366"
"2013-2014","8","Augusta County","212","Beverley Manor Middle","732"," ","732"
"2013-2014","8","Augusta County","660","Buffalo Gap High","538","1","539"
"2013-2014","8","Augusta County","30","Cassell Elementary","501"," ","501"
"2013-2014","8","Augusta County","140","Churchville Elementary","316"," ","316"
"2013-2014","8","Augusta County","370","Craigsville Elementary","157"," ","157"
"2013-2014","8","Augusta County","842","Edward G. Clymore Elementary","657"," ","657"
"2013-2014","8","Augusta County","670","Fort Defiance High","808","1","809"
"2013-2014","8","Augusta County","843","Guy K. Stump Elementary","393"," ","393"
"2013-2014","8","Augusta County","40","North River Elementary","266"," ","266"
"2013-2014","8","Augusta County","740","Riverheads Elementary","534"," ","534"
"2013-2014","8","Augusta County","680","Riverheads High","478"," ","478"
"2013-2014","8","Augusta County","90","S. Gordon Stewart Middle","590"," ","590"
"2013-2014","8","Augusta County","440","Stuarts Draft Elementary","675"," ","675"
"2013-2014","8","Augusta County","730","Stuarts Draft High","737"," ","737"
"2013-2014","8","Augusta County","60","Stuarts Draft Middle","525"," ","525"
"2013-2014","8","Augusta County","710","Verona Elementary","341"," ","341"
"2013-2014","8","Augusta County","640","Wilson Elementary","712"," ","712"
"2013-2014","8","Augusta County","720","Wilson Memorial High","761"," ","761"
"2013-2014","8","Augusta County","844","Wilson Middle","580"," ","580"
"2013-2014","9","Bath County","140","Bath County High","254"," ","254"
"2013-2014","9","Bath County","120","Millboro Elementary","121"," ","121"
"2013-2014","9","Bath County","150","Valley Elementary","261"," ","261"
"2013-2014","10","Bedford County","480","Bedford Elementary","446","1","447"
"2013-2014","10","Bedford County","490","Bedford Middle","550"," ","550"
"2013-2014","10","Bedford County","1200","Bedford Primary","271"," ","271"
"2013-2014","10","Bedford County","30","Big Island Elementary","149"," ","149"
"2013-2014","10","Bedford County","1160","Body Camp Elementary","184"," ","184"
"2013-2014","10","Bedford County","160","Boonsboro Elementary","283"," ","283"
"2013-2014","10","Bedford County","500","Forest Elementary","445"," ","445"
"2013-2014","10","Bedford County","1211","Forest Middle","966"," ","966"
"2013-2014","10","Bedford County","1214","Goodview Elementary","505"," ","505"
"2013-2014","10","Bedford County","980","Huddleston Elementary","175"," ","175"
"2013-2014","10","Bedford County","1212","Jefferson Forest High","1,368"," ","1,368"
"2013-2014","10","Bedford County","1180","Liberty High","920"," ","920"
"2013-2014","10","Bedford County","970","Moneta Elementary","236","1","237"
"2013-2014","10","Bedford County","180","Montvale Elementary","252"," ","252"
"2013-2014","10","Bedford County","610","New London Academy Elementary","343"," ","343"
"2013-2014","10","Bedford County","1170","Otter River Elementary","216"," ","216"
"2013-2014","10","Bedford County","1190","Staunton River High","1,058"," ","1,058"
"2013-2014","10","Bedford County","1191","Staunton River Middle","725"," ","725"
"2013-2014","10","Bedford County","640","Stewartsville Elementary","412"," ","412"
"2013-2014","10","Bedford County","450","Thaxton Elementary","187"," ","187"
"2013-2014","10","Bedford County","1213","Thomas Jefferson Elementary","611"," ","611"
"2013-2014","11","Bland County","232","Bland Elementary","259"," ","259"
"2013-2014","11","Bland County","231","Bland High","164"," ","164"
"2013-2014","11","Bland County","62","Rocky Gap Elementary","245"," ","245"
"2013-2014","11","Bland County","61","Rocky Gap High","190"," ","190"
"2013-2014","12","Botetourt County","220","Breckinridge Elementary","232"," ","232"
"2013-2014","12","Botetourt County","20","Buchanan Elementary","263"," ","263"
"2013-2014","12","Botetourt County","420","Central Academy Middle","458"," ","458"
"2013-2014","12","Botetourt County","390","Cloverdale Elementary","323"," ","323"
"2013-2014","12","Botetourt County","400","Colonial Elementary","424"," ","424"
"2013-2014","12","Botetourt County","30","Eagle Rock Elementary","148"," ","148"
"2013-2014","12","Botetourt County","460","Greenfield Elementary","387"," ","387"
"2013-2014","12","Botetourt County","430","James River High","565"," ","565"
"2013-2014","12","Botetourt County","440","Lord Botetourt High","1,056"," ","1,056"
"2013-2014","12","Botetourt County","450","Read Mountain Middle","717"," ","717"
"2013-2014","12","Botetourt County","40","Troutville Elementary","283"," ","283"
"2013-2014","102","Bristol City","60","Highland View Elementary","212"," ","212"
"2013-2014","102","Bristol City","100","Joseph Van Pelt Elementary","395"," ","395"
"2013-2014","102","Bristol City","70","Stonewall Jackson Elementary","307"," ","307"
"2013-2014","102","Bristol City","80","Virginia High","656"," ","656"
"2013-2014","102","Bristol City","10","Virginia Middle","512"," ","512"
"2013-2014","102","Bristol City","90","Washington-Lee Elementary","247"," ","247"
"2013-2014","13","Brunswick County","650","Brunswick High","606"," ","606"
"2013-2014","13","Brunswick County","660","James S. Russell Middle","408"," ","408"
"2013-2014","13","Brunswick County","690","Meherrin Powellton Elementary","267"," ","267"
"2013-2014","13","Brunswick County","700","Red Oak-Sturgeon Elementary","232"," ","232"
"2013-2014","13","Brunswick County","720","Totaro Elementary","408"," ","408"
"2013-2014","14","Buchanan County","90","Council Elementary/Middle","222"," ","222"
"2013-2014","14","Buchanan County","1000","Council High","129"," ","129"
"2013-2014","14","Buchanan County","990","Grundy High","502"," ","502"
"2013-2014","14","Buchanan County","120","Hurley Elementary/Middle","384"," ","384"
"2013-2014","14","Buchanan County","1020","Hurley High","227"," ","227"
"2013-2014","14","Buchanan County","20","J.M. Bevins Elementary","117"," ","117"
"2013-2014","14","Buchanan County","1040","Riverview Elementary/Middle","848"," ","848"
"2013-2014","14","Buchanan County","10","Russell Prater Elementary","96"," ","96"
"2013-2014","14","Buchanan County","1041","Twin Valley Elementary/Middle","418"," ","418"
"2013-2014","14","Buchanan County","1042","Twin Valley High","258"," ","258"
"2013-2014","15","Buckingham County","724","Buckingham Co Elementary","466"," ","466"
"2013-2014","15","Buckingham County","723","Buckingham Co Primary","522"," ","522"
"2013-2014","15","Buckingham County","20","Buckingham Co prekindergarten center","142"," ","142"
"2013-2014","15","Buckingham County","700","Buckingham County High","621"," ","621"
"2013-2014","15","Buckingham County","721","Buckingham County Middle","409"," ","409"
"2013-2014","103","Buena Vista City","40","Enderly Heights Elementary","219"," ","219"
"2013-2014","103","Buena Vista City","70","F.W. Kling Jr. Elementary","190"," ","190"
"2013-2014","103","Buena Vista City","62","Parry McCluer High","423"," ","423"
"2013-2014","103","Buena Vista City","61","Parry McCluer Middle","237"," ","237"
"2013-2014","16","Campbell County","560","Altavista Elementary","641"," ","641"
"2013-2014","16","Campbell County","200","Altavista High","705"," ","705"
"2013-2014","16","Campbell County","650","Brookneal Elementary","409"," ","409"
"2013-2014","16","Campbell County","720","Brookville High","982"," ","982"
"2013-2014","16","Campbell County","20","Brookville Middle","664"," ","664"
"2013-2014","16","Campbell County","130","Concord Elementary","435"," ","435"
"2013-2014","16","Campbell County","690","Leesville Road Elementary","647"," ","647"
"2013-2014","16","Campbell County","821","Rustburg Elementary","503"," ","503"
"2013-2014","16","Campbell County","222","Rustburg High","836"," ","836"
"2013-2014","16","Campbell County","211","Rustburg Middle","678"," ","678"
"2013-2014","16","Campbell County","60","Tomahawk Elementary","708"," ","708"
"2013-2014","16","Campbell County","542","William Campbell High","506"," ","506"
"2013-2014","16","Campbell County","710","Yellow Branch Elementary","624"," ","624"
"2013-2014","17","Caroline County","620","Bowling Green Elementary","802"," ","802"
"2013-2014","17","Caroline County","460","Caroline High","1,181"," ","1,181"
"2013-2014","17","Caroline County","450","Caroline Middle","982"," ","982"
"2013-2014","17","Caroline County","9020","Lewis & Clark Elementary","907"," ","907"
"2013-2014","17","Caroline County","630","Madison Elementary","514"," ","514"
"2013-2014","18","Carroll County","1230","Carroll County High","1,183"," ","1,183"
"2013-2014","18","Carroll County","1180","Fancy Gap Elementary","185"," ","185"
"2013-2014","18","Carroll County","1150","Gladesboro Elementary","125"," ","125"
"2013-2014","18","Carroll County","1210","Gladeville Elementary","313"," ","313"
"2013-2014","18","Carroll County","1170","Hillsville Elementary","536"," ","536"
"2013-2014","18","Carroll County","1160","Laurel Elementary","253"," ","253"
"2013-2014","18","Carroll County","1130","Oakland Elementary","213"," ","213"
"2013-2014","18","Carroll County","1110","St. Paul","347"," ","347"
"2013-2014","18","Carroll County","450","Woodlawn Elementary","861"," ","861"
"2013-2014","19","Charles City County","80","Charles City County Elementary","341"," ","341"
"2013-2014","19","Charles City County","100","Charles City County High","233"," ","233"
"2013-2014","19","Charles City County","110","Charles City County Middle","163"," ","163"
"2013-2014","20","Charlotte County","470","Bacon District Elementary","206"," ","206"
"2013-2014","20","Charlotte County","210","Central Middle","424"," ","424"
"2013-2014","20","Charlotte County","571","Early Learning Center","83"," ","83"
"2013-2014","20","Charlotte County","100","Eureka Elementary","411"," ","411"
"2013-2014","20","Charlotte County","450","Phenix Elementary","246"," ","246"
"2013-2014","20","Charlotte County","460","Randolph-Henry High","634"," ","634"
"2013-2014","104","Charlottesville City","100","Buford Middle","489"," ","489"
"2013-2014","104","Charlottesville City","70","Burnley-Moran Elementary","397"," ","397"
"2013-2014","104","Charlottesville City","140","Charlottesville High","1,203"," ","1,203"
"2013-2014","104","Charlottesville City","50","Clark Elementary","343"," ","343"
"2013-2014","104","Charlottesville City","90","Greenbrier Elementary","375"," ","375"
"2013-2014","104","Charlottesville City","120","Jackson-Via Elementary","332"," ","332"
"2013-2014","104","Charlottesville City","10","Johnson Elementary","325"," ","325"
"2013-2014","104","Charlottesville City","40","Venable Elementary","333"," ","333"
"2013-2014","104","Charlottesville City","110","Walker Upper Elementary","543"," ","543"
"2013-2014","136","Chesapeake City","630","B.M. Williams Primary","962"," ","962"
"2013-2014","136","Chesapeake City","860","Butts Road Intermediate","772"," ","772"
"2013-2014","136","Chesapeake City","770","Butts Road Primary","573"," ","573"
"2013-2014","136","Chesapeake City","90","Camelot Elementary","634"," ","634"
"2013-2014","136","Chesapeake City","900","Cedar Road Elementary","801"," ","801"
"2013-2014","136","Chesapeake City","700","Crestwood Intermediate","757"," ","757"
"2013-2014","136","Chesapeake City","560","Crestwood Middle","620"," ","620"
"2013-2014","136","Chesapeake City","660","Deep Creek Central Elementary","573"," ","573"
"2013-2014","136","Chesapeake City","210","Deep Creek Elementary","724","2","726"
"2013-2014","136","Chesapeake City","100","Deep Creek High","1,417"," ","1,417"
"2013-2014","136","Chesapeake City","610","Deep Creek Middle","484"," ","484"
"2013-2014","136","Chesapeake City","640","Edwin W. Chittum Elementary","749","1","750"
"2013-2014","136","Chesapeake City","720","G.A. Treakle Elementary","528","1","529"
"2013-2014","136","Chesapeake City","50","George W. Carver Intermediate","559"," ","559"
"2013-2014","136","Chesapeake City","820","Georgetown Primary","833"," ","833"
"2013-2014","136","Chesapeake City","950","Grassfield Elementary","908"," ","908"
"2013-2014","136","Chesapeake City","960","Grassfield High","2,048"," ","2,048"
"2013-2014","136","Chesapeake City","120","Great Bridge High","1,448"," ","1,448"
"2013-2014","136","Chesapeake City","850","Great Bridge Intermediate","638","1","639"
"2013-2014","136","Chesapeake City","590","Great Bridge Middle","1,311"," ","1,311"
"2013-2014","136","Chesapeake City","680","Great Bridge Primary","569","2","571"
"2013-2014","136","Chesapeake City","870","Greenbrier Intermediate","648"," ","648"
"2013-2014","136","Chesapeake City","972","Greenbrier Middle","871"," ","871"
"2013-2014","136","Chesapeake City","140","Greenbrier Primary","714","3","717"
"2013-2014","136","Chesapeake City","340","Hickory Elementary","455"," ","455"
"2013-2014","136","Chesapeake City","890","Hickory High","1,790"," ","1,790"
"2013-2014","136","Chesapeake City","280","Hickory Middle","1,472"," ","1,472"
"2013-2014","136","Chesapeake City","920","Hugo A. Owens Middle","1,136","1","1,137"
"2013-2014","136","Chesapeake City","830","Indian River High","1,667"," ","1,667"
"2013-2014","136","Chesapeake City","710","Indian River Middle","759","1","760"
