"School Year","Division Number","Division Name","School Number","School Name","English Learners include Former ELs","Full Time Count (All Grades)","Part Time Count (All Grades)","Total Count"
"2012-2013","42","Hanover County","420","Mechanicsville Elementary","Y","15"," ","15"
"2012-2013","42","Hanover County","553","Oak Knoll Middle","N","906"," ","906"
"2012-2013","42","Hanover County","553","Oak Knoll Middle","Y","<"," ","<"
"2012-2013","42","Hanover County","400","Patrick Henry High","N","1,474"," ","1,474"
"2012-2013","42","Hanover County","400","Patrick Henry High","Y","15"," ","15"
"2012-2013","42","Hanover County","410","Pearson's Corner Elementary","N","475"," ","475"
"2012-2013","42","Hanover County","410","Pearson's Corner Elementary","Y","<"," ","<"
"2012-2013","42","Hanover County","552","Pole Green Elementary","N","591"," ","591"
"2012-2013","42","Hanover County","552","Pole Green Elementary","Y","<"," ","<"
"2012-2013","42","Hanover County","30","Rural Point Elementary","N","484"," ","484"
"2012-2013","42","Hanover County","30","Rural Point Elementary","Y","<"," ","<"
"2012-2013","42","Hanover County","40","South Anna Elementary","N","653"," ","653"
"2012-2013","42","Hanover County","40","South Anna Elementary","Y","<"," ","<"
"2012-2013","42","Hanover County","440","Stonewall Jackson Middle","N","1,168"," ","1,168"
"2012-2013","42","Hanover County","440","Stonewall Jackson Middle","Y","<"," ","<"
"2012-2013","42","Hanover County","290","Washington-Henry Elementary","N","507"," ","507"
"2012-2013","113","Harrisonburg City","12","Harrisonburg High","N","825","<","826"
"2012-2013","113","Harrisonburg City","12","Harrisonburg High","Y","550"," ","550"
"2012-2013","113","Harrisonburg City","50","Keister Elementary","N","260"," ","260"
"2012-2013","113","Harrisonburg City","50","Keister Elementary","Y","229"," ","229"
"2012-2013","113","Harrisonburg City","111","Skyline Middle","N","324"," ","324"
"2012-2013","113","Harrisonburg City","111","Skyline Middle","Y","270"," ","270"
"2012-2013","113","Harrisonburg City","110","Smithland Elementary","N","264"," ","264"
"2012-2013","113","Harrisonburg City","110","Smithland Elementary","Y","241"," ","241"
"2012-2013","113","Harrisonburg City","60","Spotswood Elementary","N","163"," ","163"
"2012-2013","113","Harrisonburg City","60","Spotswood Elementary","Y","276"," ","276"
"2012-2013","113","Harrisonburg City","191","Stone Spring Elementary","N","263"," ","263"
"2012-2013","113","Harrisonburg City","191","Stone Spring Elementary","Y","138"," ","138"
"2012-2013","113","Harrisonburg City","80","Thomas Harrison Middle","N","495"," ","495"
"2012-2013","113","Harrisonburg City","80","Thomas Harrison Middle","Y","410"," ","410"
"2012-2013","113","Harrisonburg City","30","Waterman Elementary","N","280"," ","280"
"2012-2013","113","Harrisonburg City","30","Waterman Elementary","Y","223"," ","223"
"2012-2013","43","Henrico County","450","Anthony P. Mehfoud Elementary","N","344"," ","344"
"2012-2013","43","Henrico County","450","Anthony P. Mehfoud Elementary","Y","<"," ","<"
"2012-2013","43","Henrico County","320","Arthur Ashe Jr. Elementary","N","395"," ","395"
"2012-2013","43","Henrico County","320","Arthur Ashe Jr. Elementary","Y","25"," ","25"
"2012-2013","43","Henrico County","500","Brookland Middle","N","915"," ","915"
"2012-2013","43","Henrico County","500","Brookland Middle","Y","111"," ","111"
"2012-2013","43","Henrico County","120","Cashell Donahoe Elementary","N","494"," ","494"
"2012-2013","43","Henrico County","120","Cashell Donahoe Elementary","Y","30"," ","30"
"2012-2013","43","Henrico County","590","Chamberlayne Elementary","N","433"," ","433"
"2012-2013","43","Henrico County","590","Chamberlayne Elementary","Y","33"," ","33"
"2012-2013","43","Henrico County","530","Charles M. Johnson Elementary","N","366"," ","366"
"2012-2013","43","Henrico County","530","Charles M. Johnson Elementary","Y","154"," ","154"
"2012-2013","43","Henrico County","93","Colonial Trail Elementary","N","698"," ","698"
"2012-2013","43","Henrico County","93","Colonial Trail Elementary","Y","56"," ","56"
"2012-2013","43","Henrico County","400","Crestview Elementary","N","305"," ","305"
"2012-2013","43","Henrico County","400","Crestview Elementary","Y","63"," ","63"
"2012-2013","43","Henrico County","160","Deep Run High","N","1,601"," ","1,601"
"2012-2013","43","Henrico County","160","Deep Run High","Y","23"," ","23"
"2012-2013","43","Henrico County","410","Douglas S. Freeman High","N","1,607"," ","1,607"
"2012-2013","43","Henrico County","410","Douglas S. Freeman High","Y","131"," ","131"
"2012-2013","43","Henrico County","700","Dumbarton Elementary","N","425"," ","425"
"2012-2013","43","Henrico County","700","Dumbarton Elementary","Y","180"," ","180"
"2012-2013","43","Henrico County","300","Echo Lake Elementary","N","638"," ","638"
"2012-2013","43","Henrico County","300","Echo Lake Elementary","Y","48"," ","48"
"2012-2013","43","Henrico County","680","Elizabeth Holladay Elementary","N","422"," ","422"
"2012-2013","43","Henrico County","680","Elizabeth Holladay Elementary","Y","195"," ","195"
"2012-2013","43","Henrico County","92","Elko Middle","N","862"," ","862"
"2012-2013","43","Henrico County","92","Elko Middle","Y","<"," ","<"
"2012-2013","43","Henrico County","200","Fair Oaks Elementary","N","367"," ","367"
"2012-2013","43","Henrico County","200","Fair Oaks Elementary","Y","<"," ","<"
"2012-2013","43","Henrico County","510","Fairfield Middle","N","947"," ","947"
"2012-2013","43","Henrico County","510","Fairfield Middle","Y","12"," ","12"
"2012-2013","43","Henrico County","150","Gayton Elementary","N","454"," ","454"
"2012-2013","43","Henrico County","150","Gayton Elementary","Y","19"," ","19"
"2012-2013","43","Henrico County","470","George F. Baker Elementary","N","491"," ","491"
"2012-2013","43","Henrico County","470","George F. Baker Elementary","Y","<"," ","<"
"2012-2013","43","Henrico County","390","George H. Moody Middle","N","997"," ","997"
"2012-2013","43","Henrico County","390","George H. Moody Middle","Y","20"," ","20"
"2012-2013","43","Henrico County","20","Glen Allen Elementary","N","553"," ","553"
"2012-2013","43","Henrico County","20","Glen Allen Elementary","Y","22"," ","22"
"2012-2013","43","Henrico County","96","Glen Allen High","N","1,490"," ","1,490"
"2012-2013","43","Henrico County","96","Glen Allen High","Y","37"," ","37"
"2012-2013","43","Henrico County","380","Glen Lea Elementary","N","508"," ","508"
"2012-2013","43","Henrico County","380","Glen Lea Elementary","Y","29"," ","29"
"2012-2013","43","Henrico County","260","Greenwood Elementary","N","533"," ","533"
"2012-2013","43","Henrico County","260","Greenwood Elementary","Y","38"," ","38"
"2012-2013","43","Henrico County","420","Harold Macon Ratcliffe Elementary","N","449"," ","449"
"2012-2013","43","Henrico County","420","Harold Macon Ratcliffe Elementary","Y","<"," ","<"
"2012-2013","43","Henrico County","690","Harry F. Byrd Middle","N","875"," ","875"
"2012-2013","43","Henrico County","690","Harry F. Byrd Middle","Y","125"," ","125"
"2012-2013","43","Henrico County","94","Harvie Elementary","N","664"," ","664"
"2012-2013","43","Henrico County","94","Harvie Elementary","Y","<"," ","<"
"2012-2013","43","Henrico County","610","Henrico High","N","1,585"," ","1,585"
"2012-2013","43","Henrico County","610","Henrico High","Y","46"," ","46"
"2012-2013","43","Henrico County","330","Henry D. Ward Elementary","N","530"," ","530"
"2012-2013","43","Henrico County","330","Henry D. Ward Elementary","Y","<"," ","<"
"2012-2013","43","Henrico County","670","Hermitage High","N","1,567"," ","1,567"
"2012-2013","43","Henrico County","670","Hermitage High","Y","85"," ","85"
"2012-2013","43","Henrico County","640","Highland Springs Elementary","N","511"," ","511"
"2012-2013","43","Henrico County","640","Highland Springs Elementary","Y","<"," ","<"
"2012-2013","43","Henrico County","190","Highland Springs High","N","1,742"," ","1,742"
"2012-2013","43","Henrico County","190","Highland Springs High","Y","23"," ","23"
"2012-2013","43","Henrico County","95","Holman Middle","N","846"," ","846"
"2012-2013","43","Henrico County","95","Holman Middle","Y","39"," ","39"
"2012-2013","43","Henrico County","100","Hungary Creek Middle","N","927"," ","927"
"2012-2013","43","Henrico County","100","Hungary Creek Middle","Y","42"," ","42"
"2012-2013","43","Henrico County","620","Jackson Davis Elementary","N","545"," ","545"
"2012-2013","43","Henrico County","620","Jackson Davis Elementary","Y","103"," ","103"
"2012-2013","43","Henrico County","660","Jacob L. Adams Elementary","N","450"," ","450"
"2012-2013","43","Henrico County","660","Jacob L. Adams Elementary","Y","28"," ","28"
"2012-2013","43","Henrico County","600","John Randolph Tucker High","N","1,340"," ","1,340"
"2012-2013","43","Henrico County","600","John Randolph Tucker High","Y","150"," ","150"
"2012-2013","43","Henrico County","130","John Rolfe Middle","N","959"," ","959"
"2012-2013","43","Henrico County","130","John Rolfe Middle","Y","<"," ","<"
"2012-2013","43","Henrico County","250","L. Douglas Wilder Middle","N","872"," ","872"
"2012-2013","43","Henrico County","250","L. Douglas Wilder Middle","Y","23"," ","23"
"2012-2013","43","Henrico County","430","Laburnum Elementary","N","522"," ","522"
"2012-2013","43","Henrico County","430","Laburnum Elementary","Y","50"," ","50"
"2012-2013","43","Henrico County","370","Lakeside Elementary","N","417"," ","417"
"2012-2013","43","Henrico County","370","Lakeside Elementary","Y","64"," ","64"
"2012-2013","43","Henrico County","50","Longdale Elementary","N","491"," ","491"
"2012-2013","43","Henrico County","50","Longdale Elementary","Y","44"," ","44"
"2012-2013","43","Henrico County","490","Maude Trevvett Elementary","N","429"," ","429"
"2012-2013","43","Henrico County","490","Maude Trevvett Elementary","Y","54"," ","54"
"2012-2013","43","Henrico County","540","Maybeury Elementary","N","524"," ","524"
"2012-2013","43","Henrico County","540","Maybeury Elementary","Y","65"," ","65"
"2012-2013","43","Henrico County","140","Mills E. Godwin High","N","1,744"," ","1,744"
"2012-2013","43","Henrico County","140","Mills E. Godwin High","Y","44"," ","44"
"2012-2013","43","Henrico County","210","Montrose Elementary","N","421"," ","421"
"2012-2013","43","Henrico County","210","Montrose Elementary","Y","<"," ","<"
"2012-2013","43","Henrico County","270","Nuckols Farm Elementary","N","507"," ","507"
"2012-2013","43","Henrico County","270","Nuckols Farm Elementary","Y","32"," ","32"
"2012-2013","43","Henrico County","440","Pemberton Elementary","N","306"," ","306"
"2012-2013","43","Henrico County","440","Pemberton Elementary","Y","11"," ","11"
"2012-2013","43","Henrico County","570","Pinchbeck Elementary","N","460"," ","460"
"2012-2013","43","Henrico County","570","Pinchbeck Elementary","Y","75"," ","75"
"2012-2013","43","Henrico County","280","Pocahontas Middle","N","884"," ","884"
"2012-2013","43","Henrico County","280","Pocahontas Middle","Y","23"," ","23"
"2012-2013","43","Henrico County","630","R.C. Longan Elementary","N","416"," ","416"
"2012-2013","43","Henrico County","630","R.C. Longan Elementary","Y","118"," ","118"
"2012-2013","43","Henrico County","90","Ridge Elementary","N","306"," ","306"
"2012-2013","43","Henrico County","90","Ridge Elementary","Y","225"," ","225"
"2012-2013","43","Henrico County","240","Rivers Edge Elementary","N","667"," ","667"
"2012-2013","43","Henrico County","240","Rivers Edge Elementary","Y","45"," ","45"
"2012-2013","43","Henrico County","650","Ruby F. Carver Elementary","N","480"," ","480"
"2012-2013","43","Henrico County","650","Ruby F. Carver Elementary","Y","55"," ","55"
"2012-2013","43","Henrico County","220","Sandston Elementary","N","200"," ","200"
"2012-2013","43","Henrico County","220","Sandston Elementary","Y","<"," ","<"
"2012-2013","43","Henrico County","550","Seven Pines Elementary","N","473"," ","473"
"2012-2013","43","Henrico County","550","Seven Pines Elementary","Y","10"," ","10"
"2012-2013","43","Henrico County","710","Shady Grove Elementary","N","634"," ","634"
"2012-2013","43","Henrico County","710","Shady Grove Elementary","Y","36"," ","36"
"2012-2013","43","Henrico County","60","Short Pump Elementary","N","679"," ","679"
"2012-2013","43","Henrico County","60","Short Pump Elementary","Y","58"," ","58"
"2012-2013","43","Henrico County","80","Short Pump Middle","N","799"," ","799"
"2012-2013","43","Henrico County","80","Short Pump Middle","Y","13"," ","13"
"2012-2013","43","Henrico County","480","Skipwith Elementary","N","349"," ","349"
"2012-2013","43","Henrico County","480","Skipwith Elementary","Y","151"," ","151"
"2012-2013","43","Henrico County","230","Springfield Park Elementary","N","549"," ","549"
"2012-2013","43","Henrico County","230","Springfield Park Elementary","Y","100"," ","100"
"2012-2013","43","Henrico County","10","Three Chopt Elementary","N","260"," ","260"
"2012-2013","43","Henrico County","10","Three Chopt Elementary","Y","27"," ","27"
"2012-2013","43","Henrico County","360","Tuckahoe Elementary","N","699"," ","699"
"2012-2013","43","Henrico County","360","Tuckahoe Elementary","Y","<"," ","<"
"2012-2013","43","Henrico County","520","Tuckahoe Middle","N","1,034"," ","1,034"
"2012-2013","43","Henrico County","520","Tuckahoe Middle","Y","66"," ","66"
"2012-2013","43","Henrico County","310","Twin Hickory Elementary","N","557"," ","557"
"2012-2013","43","Henrico County","310","Twin Hickory Elementary","Y","82"," ","82"
"2012-2013","43","Henrico County","290","Varina Elementary","N","345"," ","345"
"2012-2013","43","Henrico County","290","Varina Elementary","Y","<"," ","<"
"2012-2013","43","Henrico County","580","Varina High","N","1,811"," ","1,811"
"2012-2013","43","Henrico County","580","Varina High","Y","17"," ","17"
"2012-2013","44","Henry County","361","Axton Elementary","N","356"," ","356"
"2012-2013","44","Henry County","361","Axton Elementary","Y","76"," ","76"
"2012-2013","44","Henry County","10","Bassett High","N","1,185"," ","1,185"
"2012-2013","44","Henry County","10","Bassett High","Y","40"," ","40"
"2012-2013","44","Henry County","590","Campbell Court Elementary","N","337"," ","337"
"2012-2013","44","Henry County","590","Campbell Court Elementary","Y","50"," ","50"
"2012-2013","44","Henry County","480","Carver Elementary","N","488"," ","488"
"2012-2013","44","Henry County","480","Carver Elementary","Y","35"," ","35"
"2012-2013","44","Henry County","662","Collinsville Primary","N","304"," ","304"
"2012-2013","44","Henry County","662","Collinsville Primary","Y","46"," ","46"
"2012-2013","44","Henry County","530","Drewry Mason Elementary","N","402"," ","402"
"2012-2013","44","Henry County","530","Drewry Mason Elementary","Y","24"," ","24"
"2012-2013","44","Henry County","620","Fieldale-Collinsville Middle","N","877"," ","877"
"2012-2013","44","Henry County","620","Fieldale-Collinsville Middle","Y","29"," ","29"
"2012-2013","44","Henry County","661","John Redd Smith Elementary","N","250"," ","250"
"2012-2013","44","Henry County","661","John Redd Smith Elementary","Y","46"," ","46"
"2012-2013","44","Henry County","670","Laurel Park Middle","N","733"," ","733"
"2012-2013","44","Henry County","670","Laurel Park Middle","Y","29"," ","29"
"2012-2013","44","Henry County","20","Magna Vista High","N","887"," ","887"
"2012-2013","44","Henry County","20","Magna Vista High","Y","24"," ","24"
"2012-2013","44","Henry County","872","Mount Olivet Elementary","N","288"," ","288"
"2012-2013","44","Henry County","872","Mount Olivet Elementary","Y","25"," ","25"
"2012-2013","44","Henry County","740","Rich Acres Elementary","N","241"," ","241"
"2012-2013","44","Henry County","740","Rich Acres Elementary","Y","31"," ","31"
"2012-2013","44","Henry County","220","Sanville Elementary","N","279"," ","279"
"2012-2013","44","Henry County","220","Sanville Elementary","Y","14"," ","14"
"2012-2013","44","Henry County","760","Stanleytown Elementary","N","334"," ","334"
"2012-2013","44","Henry County","760","Stanleytown Elementary","Y","35"," ","35"
"2012-2013","45","Highland County","110","Highland Elementary","N","91"," ","91"
"2012-2013","45","Highland County","220","Highland High","N","111"," ","111"
"2012-2013","45","Highland County","220","Highland High","Y","<"," ","<"
"2012-2013","114","Hopewell City","110","Carter G. Woodson Middle","N","887"," ","887"
"2012-2013","114","Hopewell City","110","Carter G. Woodson Middle","Y","10"," ","10"
"2012-2013","114","Hopewell City","40","Dupont Elementary","N","631"," ","631"
"2012-2013","114","Hopewell City","40","Dupont Elementary","Y","19"," ","19"
"2012-2013","114","Hopewell City","140","Harry E. James Elementary","N","602"," ","602"
"2012-2013","114","Hopewell City","140","Harry E. James Elementary","Y","37"," ","37"
"2012-2013","114","Hopewell City","120","Hopewell High","N","1,060"," ","1,060"
"2012-2013","114","Hopewell City","120","Hopewell High","Y","20"," ","20"
"2012-2013","114","Hopewell City","70","Patrick Copeland Elementary","N","629"," ","629"
"2012-2013","114","Hopewell City","70","Patrick Copeland Elementary","Y","25"," ","25"
"2012-2013","114","Hopewell City","151","Woodlawn Pre-School Learning Center","N","288"," ","288"
"2012-2013","46","Isle of Wight County","421","Carrollton Elementary","N","562"," ","562"
"2012-2013","46","Isle of Wight County","421","Carrollton Elementary","Y","<"," ","<"
"2012-2013","46","Isle of Wight County","280","Carrsville Elementary","N","270"," ","270"
"2012-2013","46","Isle of Wight County","320","Hardy Elementary","N","472"," ","472"
"2012-2013","46","Isle of Wight County","320","Hardy Elementary","Y","<"," ","<"
"2012-2013","46","Isle of Wight County","40","Smithfield High","N","1,309"," ","1,309"
"2012-2013","46","Isle of Wight County","40","Smithfield High","Y","<"," ","<"
"2012-2013","46","Isle of Wight County","50","Smithfield Middle","N","606"," ","606"
"2012-2013","46","Isle of Wight County","424","Westside Elementary","N","788"," ","788"
"2012-2013","46","Isle of Wight County","424","Westside Elementary","Y","<"," ","<"
"2012-2013","46","Isle of Wight County","240","Windsor Elementary","N","661"," ","661"
"2012-2013","46","Isle of Wight County","240","Windsor Elementary","Y","<"," ","<"
"2012-2013","46","Isle of Wight County","250","Windsor High","N","502"," ","502"
"2012-2013","46","Isle of Wight County","250","Windsor High","Y","<"," ","<"
"2012-2013","46","Isle of Wight County","422","Windsor Middle","N","362"," ","362"
"2012-2013","46","Isle of Wight County","422","Windsor Middle","Y","<"," ","<"
"2012-2013","48","King George County","100","King George Elementary","N","890"," ","890"
"2012-2013","48","King George County","100","King George Elementary","Y","11"," ","11"
"2012-2013","48","King George County","120","King George High","N","1,305"," ","1,305"
"2012-2013","48","King George County","120","King George High","Y","<"," ","<"
"2012-2013","48","King George County","10","King George Middle","N","639","<","640"
"2012-2013","48","King George County","10","King George Middle","Y","<"," ","<"
"2012-2013","48","King George County","50","Potomac Elementary","N","636"," ","636"
"2012-2013","48","King George County","221","Sealston Elementary","N","760"," ","760"
"2012-2013","48","King George County","221","Sealston Elementary","Y","<"," ","<"
"2012-2013","50","King William County","180","Acquinton Elementary","N","515"," ","515"
"2012-2013","50","King William County","180","Acquinton Elementary","Y","<"," ","<"
"2012-2013","50","King William County","190","Cool Spring Primary","N","529"," ","529"
"2012-2013","50","King William County","190","Cool Spring Primary","Y","<"," ","<"
"2012-2013","50","King William County","160","Hamilton Holmes Middle","N","512"," ","512"
"2012-2013","50","King William County","160","Hamilton Holmes Middle","Y","<"," ","<"
"2012-2013","50","King William County","130","King William High","N","645"," ","645"
"2012-2013","50","King William County","130","King William High","Y","<"," ","<"
"2012-2013","49","King and Queen County","280","Central High","N","260"," ","260"
"2012-2013","49","King and Queen County","280","Central High","Y","<"," ","<"
"2012-2013","49","King and Queen County","200","King & Queen Elementary","N","319"," ","319"
"2012-2013","49","King and Queen County","200","King & Queen Elementary","Y","11"," ","11"
"2012-2013","49","King and Queen County","290","Lawson-Marriott Elementary","N","314"," ","314"
"2012-2013","49","King and Queen County","290","Lawson-Marriott Elementary","Y","<"," ","<"
"2012-2013","51","Lancaster County","10","Lancaster High","N","399"," ","399"
"2012-2013","51","Lancaster County","10","Lancaster High","Y","<"," ","<"
"2012-2013","51","Lancaster County","110","Lancaster Middle","N","483"," ","483"
"2012-2013","51","Lancaster County","110","Lancaster Middle","Y","<"," ","<"
"2012-2013","51","Lancaster County","210","Lancaster Primary","N","444"," ","444"
"2012-2013","51","Lancaster County","210","Lancaster Primary","Y","<"," ","<"
"2012-2013","52","Lee County","160","Dryden Elementary","N","351"," ","351"
"2012-2013","52","Lee County","330","Elk Knob Elementary","N","413"," ","413"
"2012-2013","52","Lee County","330","Elk Knob Elementary","Y","<"," ","<"
"2012-2013","52","Lee County","820","Elydale Elementary","N","180"," ","180"
"2012-2013","52","Lee County","630","Flatwoods Elementary","N","431"," ","431"
"2012-2013","52","Lee County","470","Jonesville Middle","N","208"," ","208"
"2012-2013","52","Lee County","300","Lee High","N","732"," ","732"
"2012-2013","52","Lee County","290","Pennington Middle","N","380"," ","380"
"2012-2013","52","Lee County","290","Pennington Middle","Y","<"," ","<"
"2012-2013","52","Lee County","670","Rose Hill Elementary","N","282"," ","282"
"2012-2013","52","Lee County","200","St. Charles Elementary","N","154"," ","154"
"2012-2013","52","Lee County","880","Thomas Walker High","N","285"," ","285"
"2012-2013","137","Lexington City","1390","Harrington Waddell Elementary","N","328"," ","328"
"2012-2013","137","Lexington City","1390","Harrington Waddell Elementary","Y","16"," ","16"
"2012-2013","137","Lexington City","1440","Lylburn Downing Middle","N","184"," ","184"
"2012-2013","137","Lexington City","1440","Lylburn Downing Middle","Y","<"," ","<"
"2012-2013","53","Loudoun County","510","Aldie Elementary","N","117"," ","117"
"2012-2013","53","Loudoun County","510","Aldie Elementary","Y","<"," ","<"
"2012-2013","53","Loudoun County","150","Algonkian Elementary","N","422"," ","422"
"2012-2013","53","Loudoun County","150","Algonkian Elementary","Y","50"," ","50"
"2012-2013","53","Loudoun County","610","Arcola Elementary","N","691"," ","691"
"2012-2013","53","Loudoun County","610","Arcola Elementary","Y","70"," ","70"
"2012-2013","53","Loudoun County","170","Ashburn Elementary","N","595"," ","595"
"2012-2013","53","Loudoun County","170","Ashburn Elementary","Y","80"," ","80"
"2012-2013","53","Loudoun County","220","Ball's Bluff Elementary","N","561"," ","561"
"2012-2013","53","Loudoun County","220","Ball's Bluff Elementary","Y","94"," ","94"
"2012-2013","53","Loudoun County","650","Banneker Elementary","N","159"," ","159"
"2012-2013","53","Loudoun County","650","Banneker Elementary","Y","26"," ","26"
"2012-2013","53","Loudoun County","940","Belmont Ridge Middle","N","1,437","<","1,439"
"2012-2013","53","Loudoun County","940","Belmont Ridge Middle","Y","29"," ","29"
"2012-2013","53","Loudoun County","300","Belmont Station Elementary","N","834"," ","834"
"2012-2013","53","Loudoun County","300","Belmont Station Elementary","Y","59"," ","59"
"2012-2013","53","Loudoun County","790","Blue Ridge Middle","N","913","<","914"
"2012-2013","53","Loudoun County","790","Blue Ridge Middle","Y","19"," ","19"
"2012-2013","53","Loudoun County","420","Briar Woods High","N","1,954","<","1,955"
"2012-2013","53","Loudoun County","420","Briar Woods High","Y","40","<","41"
"2012-2013","53","Loudoun County","740","Broad Run High","N","1,712","<","1,713"
"2012-2013","53","Loudoun County","740","Broad Run High","Y","124"," ","124"
"2012-2013","53","Loudoun County","450","Buffalo Trail Elementary","N","634"," ","634"
"2012-2013","53","Loudoun County","450","Buffalo Trail Elementary","Y","79"," ","79"
"2012-2013","53","Loudoun County","710","Catoctin Elementary","N","452"," ","452"
"2012-2013","53","Loudoun County","710","Catoctin Elementary","Y","77"," ","77"
"2012-2013","53","Loudoun County","840","Cedar Lane Elementary","N","656"," ","656"
"2012-2013","53","Loudoun County","840","Cedar Lane Elementary","Y","74"," ","74"
"2012-2013","53","Loudoun County","160","Cool Spring Elementary","N","552"," ","552"
"2012-2013","53","Loudoun County","160","Cool Spring Elementary","Y","99"," ","99"
"2012-2013","53","Loudoun County","890","Countryside Elementary","N","542"," ","542"
"2012-2013","53","Loudoun County","890","Countryside Elementary","Y","144"," ","144"
"2012-2013","53","Loudoun County","540","Creighton's Corner Elementary","N","1,014"," ","1,014"
"2012-2013","53","Loudoun County","540","Creighton's Corner Elementary","Y","150"," ","150"
"2012-2013","53","Loudoun County","31","Dominion High","N","1,250","<","1,252"
"2012-2013","53","Loudoun County","31","Dominion High","Y","128"," ","128"
"2012-2013","53","Loudoun County","470","Dominion Trail Elementary","N","618"," ","618"
"2012-2013","53","Loudoun County","470","Dominion Trail Elementary","Y","88"," ","88"
"2012-2013","53","Loudoun County","880","Eagle Ridge Middle","N","1,124","<","1,125"
"2012-2013","53","Loudoun County","880","Eagle Ridge Middle","Y","12"," ","12"
"2012-2013","53","Loudoun County","730","Emerick Elementary","N","480"," ","480"
"2012-2013","53","Loudoun County","730","Emerick Elementary","Y","<"," ","<"
"2012-2013","53","Loudoun County","190","Evergreen Mill Elementary","N","524"," ","524"
"2012-2013","53","Loudoun County","190","Evergreen Mill Elementary","Y","143"," ","143"
"2012-2013","53","Loudoun County","210","Farmwell Station Middle","N","1,221"," ","1,221"
"2012-2013","53","Loudoun County","210","Farmwell Station Middle","Y","95"," ","95"
"2012-2013","53","Loudoun County","970","Forest Grove Elementary","N","330"," ","330"
"2012-2013","53","Loudoun County","970","Forest Grove Elementary","Y","248"," ","248"
"2012-2013","53","Loudoun County","91","Frances Hazel Reid Elementary","N","613"," ","613"
"2012-2013","53","Loudoun County","91","Frances Hazel Reid Elementary","Y","150"," ","150"
"2012-2013","53","Loudoun County","530","Frederick Douglass Elementary School","N","500"," ","500"
"2012-2013","53","Loudoun County","530","Frederick Douglass Elementary School","Y","146"," ","146"
"2012-2013","53","Loudoun County","120","Freedom High","N","1,501"," ","1,501"
"2012-2013","53","Loudoun County","120","Freedom High","Y","42"," ","42"
"2012-2013","53","Loudoun County","720","Guilford Elementary","N","223"," ","223"
"2012-2013","53","Loudoun County","720","Guilford Elementary","Y","312"," ","312"
"2012-2013","53","Loudoun County","230","Hamilton Elementary","N","154"," ","154"
"2012-2013","53","Loudoun County","230","Hamilton Elementary","Y","<"," ","<"
"2012-2013","53","Loudoun County","921","Harmony Middle","N","1,073","<","1,074"
"2012-2013","53","Loudoun County","921","Harmony Middle","Y","12"," ","12"
"2012-2013","53","Loudoun County","520","Harper Park Middle","N","957","<","958"
"2012-2013","53","Loudoun County","520","Harper Park Middle","Y","62"," ","62"
"2012-2013","53","Loudoun County","900","Heritage High","N","1,106"," ","1,106"
"2012-2013","53","Loudoun County","900","Heritage High","Y","86"," ","86"
"2012-2013","53","Loudoun County","110","Hillsboro Elementary","N","65"," ","65"
"2012-2013","53","Loudoun County","110","Hillsboro Elementary","Y","<"," ","<"
"2012-2013","53","Loudoun County","400","Hillside Elementary","N","694"," ","694"
"2012-2013","53","Loudoun County","400","Hillside Elementary","Y","24"," ","24"
"2012-2013","53","Loudoun County","820","Horizon Elementary","N","642"," ","642"
"2012-2013","53","Loudoun County","820","Horizon Elementary","Y","71"," ","71"
"2012-2013","53","Loudoun County","960","Hutchison Farm Elementary","N","796"," ","796"
"2012-2013","53","Loudoun County","960","Hutchison Farm Elementary","Y","53"," ","53"
"2012-2013","53","Loudoun County","20","J. Lupton Simpson Middle","N","970"," ","970"
"2012-2013","53","Loudoun County","20","J. Lupton Simpson Middle","Y","50"," ","50"
"2012-2013","53","Loudoun County","580","J. Michael Lunsford Middle","N","1,244"," ","1,244"
"2012-2013","53","Loudoun County","580","J. Michael Lunsford Middle","Y","29"," ","29"
"2012-2013","53","Loudoun County","370","John Champe High School","N","585"," ","585"
"2012-2013","53","Loudoun County","370","John Champe High School","Y","24"," ","24"
"2012-2013","53","Loudoun County","950","John W. Tolbert Jr. Elementary","N","666"," ","666"
"2012-2013","53","Loudoun County","950","John W. Tolbert Jr. Elementary","Y","168"," ","168"
"2012-2013","53","Loudoun County","600","Kenneth W.Culbert Elementary","N","501"," ","501"
"2012-2013","53","Loudoun County","600","Kenneth W.Culbert Elementary","Y","29"," ","29"
"2012-2013","53","Loudoun County","80","Leesburg Elementary","N","480"," ","480"
"2012-2013","53","Loudoun County","80","Leesburg Elementary","Y","114"," ","114"
"2012-2013","53","Loudoun County","430","Legacy Elementary","N","1,096"," ","1,096"
"2012-2013","53","Loudoun County","430","Legacy Elementary","Y","102"," ","102"
"2012-2013","53","Loudoun County","560","Liberty Elementary","N","978"," ","978"
"2012-2013","53","Loudoun County","560","Liberty Elementary","Y","119"," ","119"
"2012-2013","53","Loudoun County","290","Lincoln Elementary","N","135"," ","135"
"2012-2013","53","Loudoun County","290","Lincoln Elementary","Y","<"," ","<"
"2012-2013","53","Loudoun County","860","Little River Elementary","N","737"," ","737"
"2012-2013","53","Loudoun County","860","Little River Elementary","Y","34"," ","34"
"2012-2013","53","Loudoun County","660","Loudoun County High","N","1,325","<","1,326"
"2012-2013","53","Loudoun County","660","Loudoun County High","Y","69"," ","69"
"2012-2013","53","Loudoun County","680","Loudoun Valley High","N","1,122","<","1,125"
