"School Year","Division Number","Division Name","School Number","School Name","English Learners include Former ELs","Full Time Count (All Grades)","Part Time Count (All Grades)","Total Count"
"2010-2011","101","Alexandria City","170","Francis C. Hammond Middle","N","290"," ","290"
"2010-2011","101","Alexandria City","170","Francis C. Hammond Middle","Y","132"," ","132"
"2010-2011","101","Alexandria City","250","Francis Hammond 2 Middle","N","279"," ","279"
"2010-2011","101","Alexandria City","250","Francis Hammond 2 Middle","Y","150"," ","150"
"2010-2011","101","Alexandria City","260","Francis Hammond 3 Middle","N","266"," ","266"
"2010-2011","101","Alexandria City","260","Francis Hammond 3 Middle","Y","146"," ","146"
"2010-2011","101","Alexandria City","100","George Mason Elementary","N","340"," ","340"
"2010-2011","101","Alexandria City","100","George Mason Elementary","Y","98"," ","98"
"2010-2011","101","Alexandria City","240","George Washington 2 Middle","N","359"," ","359"
"2010-2011","101","Alexandria City","240","George Washington 2 Middle","Y","116"," ","116"
"2010-2011","101","Alexandria City","10","George Washington Middle","N","383"," ","383"
"2010-2011","101","Alexandria City","10","George Washington Middle","Y","101"," ","101"
"2010-2011","101","Alexandria City","220","James K. Polk Elementary","N","377"," ","377"
"2010-2011","101","Alexandria City","220","James K. Polk Elementary","Y","212"," ","212"
"2010-2011","101","Alexandria City","90","Jefferson-Houston Elementary","N","307"," ","307"
"2010-2011","101","Alexandria City","90","Jefferson-Houston Elementary","Y","28"," ","28"
"2010-2011","101","Alexandria City","230","John Adams Elementary","N","470"," ","470"
"2010-2011","101","Alexandria City","230","John Adams Elementary","Y","338"," ","338"
"2010-2011","101","Alexandria City","80","Lyles-Crouch Elementary","N","332"," ","332"
"2010-2011","101","Alexandria City","80","Lyles-Crouch Elementary","Y","26"," ","26"
"2010-2011","101","Alexandria City","60","Maury Elementary","N","339"," ","339"
"2010-2011","101","Alexandria City","60","Maury Elementary","Y","11"," ","11"
"2010-2011","101","Alexandria City","30","Mount Vernon Elementary","N","370"," ","370"
"2010-2011","101","Alexandria City","30","Mount Vernon Elementary","Y","332"," ","332"
"2010-2011","101","Alexandria City","50","Patrick Henry Elementary","N","284"," ","284"
"2010-2011","101","Alexandria City","50","Patrick Henry Elementary","Y","155"," ","155"
"2010-2011","101","Alexandria City","333","Samuel W. Tucker Elementary","N","441"," ","441"
"2010-2011","101","Alexandria City","333","Samuel W. Tucker Elementary","Y","241"," ","241"
"2010-2011","101","Alexandria City","210","T.C. Williams High","N","2,435"," ","2,435"
"2010-2011","101","Alexandria City","210","T.C. Williams High","Y","627"," ","627"
"2010-2011","101","Alexandria City","190","William Ramsay Elementary","N","276"," ","276"
"2010-2011","101","Alexandria City","190","William Ramsay Elementary","Y","426"," ","426"
"2010-2011","3","Alleghany County","310","Alleghany High","N","855"," ","855"
"2010-2011","3","Alleghany County","310","Alleghany High","Y","<"," ","<"
"2010-2011","3","Alleghany County","280","Boiling Spring Elementary","N","125"," ","125"
"2010-2011","3","Alleghany County","110","Callaghan Elementary","N","208"," ","208"
"2010-2011","3","Alleghany County","110","Callaghan Elementary","Y","<"," ","<"
"2010-2011","3","Alleghany County","1040","Clifton Middle","N","674"," ","674"
"2010-2011","3","Alleghany County","1040","Clifton Middle","Y","<"," ","<"
"2010-2011","3","Alleghany County","20","Falling Spring Elementary","N","153"," ","153"
"2010-2011","3","Alleghany County","20","Falling Spring Elementary","Y","<"," ","<"
"2010-2011","3","Alleghany County","1041","Mountain View Elementary","N","577"," ","577"
"2010-2011","3","Alleghany County","1041","Mountain View Elementary","Y","<"," ","<"
"2010-2011","3","Alleghany County","90","Sharon Elementary","N","193"," ","193"
"2010-2011","3","Alleghany County","90","Sharon Elementary","Y","<"," ","<"
"2010-2011","4","Amelia County","220","Amelia County Elementary","N","681"," ","681"
"2010-2011","4","Amelia County","220","Amelia County Elementary","Y","13"," ","13"
"2010-2011","4","Amelia County","10","Amelia County High","N","546"," ","546"
"2010-2011","4","Amelia County","210","Amelia County Middle","N","573"," ","573"
"2010-2011","4","Amelia County","210","Amelia County Middle","Y","<"," ","<"
"2010-2011","5","Amherst County","780","Amelon Elementary","N","462"," ","462"
"2010-2011","5","Amherst County","780","Amelon Elementary","Y","<"," ","<"
"2010-2011","5","Amherst County","750","Amherst County High","N","1,500"," ","1,500"
