"School Year","Division Number","Division Name","School Number","School Name","Disabled","Full Time Count (All Grades)","Part Time Count (All Grades)","Total Count"
"2013-2014","202","Colonial Beach","22","Colonial Beach Elementary","N","307"," ","307"
"2013-2014","202","Colonial Beach","22","Colonial Beach Elementary","Y","50"," ","50"
"2013-2014","202","Colonial Beach","21","Colonial Beach High","N","201"," ","201"
"2013-2014","202","Colonial Beach","21","Colonial Beach High","Y","34"," ","34"
"2013-2014","106","Colonial Heights City","40","Colonial Heights High","N","776"," ","776"
"2013-2014","106","Colonial Heights City","40","Colonial Heights High","Y","146"," ","146"
"2013-2014","106","Colonial Heights City","20","Colonial Heights Middle","N","582"," ","582"
"2013-2014","106","Colonial Heights City","20","Colonial Heights Middle","Y","107"," ","107"
"2013-2014","106","Colonial Heights City","50","Lakeview Elementary","N","264"," ","264"
"2013-2014","106","Colonial Heights City","50","Lakeview Elementary","Y","51"," ","51"
"2013-2014","106","Colonial Heights City","30","North Elementary","N","277"," ","277"
"2013-2014","106","Colonial Heights City","30","North Elementary","Y","30"," ","30"
"2013-2014","106","Colonial Heights City","60","Tussing Elementary","N","511"," ","511"
"2013-2014","106","Colonial Heights City","60","Tussing Elementary","Y","68"," ","68"
"2013-2014","107","Covington City","350","Covington High","N","269"," ","269"
"2013-2014","107","Covington City","350","Covington High","Y","45"," ","45"
"2013-2014","107","Covington City","260","Edgemont Primary","N","302"," ","302"
"2013-2014","107","Covington City","260","Edgemont Primary","Y","70"," ","70"
"2013-2014","107","Covington City","360","Jeter-Watson Intermediate","N","256"," ","256"
"2013-2014","107","Covington City","360","Jeter-Watson Intermediate","Y","37"," ","37"
"2013-2014","23","Craig County","11","Craig County High","N","338"," ","338"
"2013-2014","23","Craig County","11","Craig County High","Y","60"," ","60"
"2013-2014","23","Craig County","10","McCleary Elementary","N","234"," ","234"
"2013-2014","23","Craig County","10","McCleary Elementary","Y","68"," ","68"
"2013-2014","24","Culpeper County","240","A.G. Richardson Elementary","N","518"," ","518"
"2013-2014","24","Culpeper County","240","A.G. Richardson Elementary","Y","82"," ","82"
"2013-2014","24","Culpeper County","480","Culpeper County High","N","968"," ","968"
"2013-2014","24","Culpeper County","480","Culpeper County High","Y","93"," ","93"
"2013-2014","24","Culpeper County","20","Culpeper Middle","N","1,021","<","1,024"
"2013-2014","24","Culpeper County","20","Culpeper Middle","Y","87"," ","87"
"2013-2014","24","Culpeper County","50","Eastern View High","N","1,119"," ","1,119"
"2013-2014","24","Culpeper County","50","Eastern View High","Y","107"," ","107"
"2013-2014","24","Culpeper County","450","Emerald Hill Elementary","N","679"," ","679"
"2013-2014","24","Culpeper County","450","Emerald Hill Elementary","Y","82"," ","82"
"2013-2014","24","Culpeper County","470","Farmington Elementary","N","540"," ","540"
"2013-2014","24","Culpeper County","470","Farmington Elementary","Y","60"," ","60"
"2013-2014","24","Culpeper County","581","Floyd T. Binns Middle","N","700"," ","700"
"2013-2014","24","Culpeper County","581","Floyd T. Binns Middle","Y","71"," ","71"
"2013-2014","24","Culpeper County","582","Galbreath-Marshall Building","Y","<"," ","<"
"2013-2014","24","Culpeper County","10","Pearl Sample Elementary","N","571"," ","571"
"2013-2014","24","Culpeper County","10","Pearl Sample Elementary","Y","68"," ","68"
"2013-2014","24","Culpeper County","460","Sycamore Park Elementary","N","585"," ","585"
"2013-2014","24","Culpeper County","460","Sycamore Park Elementary","Y","60"," ","60"
"2013-2014","24","Culpeper County","40","Yowell Elementary","N","604"," ","604"
"2013-2014","24","Culpeper County","40","Yowell Elementary","Y","62"," ","62"
"2013-2014","25","Cumberland County","140","Cumberland Elementary","N","527"," ","527"
"2013-2014","25","Cumberland County","140","Cumberland Elementary","Y","61"," ","61"
"2013-2014","25","Cumberland County","151","Cumberland High","N","386","<","387"
"2013-2014","25","Cumberland County","151","Cumberland High","Y","39"," ","39"
"2013-2014","25","Cumberland County","152","Cumberland Middle","N","392"," ","392"
"2013-2014","25","Cumberland County","152","Cumberland Middle","Y","30"," ","30"
"2013-2014","108","Danville City","20","Forest Hills Elementary","N","316"," ","316"
"2013-2014","108","Danville City","20","Forest Hills Elementary","Y","39"," ","39"
"2013-2014","108","Danville City","190","G.L.H. Johnson Elementary","N","545"," ","545"
"2013-2014","108","Danville City","190","G.L.H. Johnson Elementary","Y","65"," ","65"
"2013-2014","108","Danville City","1374","Galileo Magnet High","N","204"," ","204"
"2013-2014","108","Danville City","1374","Galileo Magnet High","Y","10"," ","10"
"2013-2014","108","Danville City","210","George Washington High","N","1,196"," ","1,196"
"2013-2014","108","Danville City","210","George Washington High","Y","232"," ","232"
"2013-2014","108","Danville City","200","Grove Park Preschool","N","95"," ","95"
"2013-2014","108","Danville City","200","Grove Park Preschool","Y","36"," ","36"
"2013-2014","108","Danville City","139","JM Langston Focus","N","90"," ","90"
"2013-2014","108","Danville City","139","JM Langston Focus","Y","16"," ","16"
"2013-2014","108","Danville City","260","O. Trent Bonner Middle","N","651"," ","651"
"2013-2014","108","Danville City","260","O. Trent Bonner Middle","Y","116"," ","116"
"2013-2014","108","Danville City","250","Park Avenue Elementary","N","395"," ","395"
"2013-2014","108","Danville City","250","Park Avenue Elementary","Y","67"," ","67"
"2013-2014","108","Danville City","40","Schoolfield Elementary","N","488"," ","488"
"2013-2014","108","Danville City","40","Schoolfield Elementary","Y","64"," ","64"
"2013-2014","108","Danville City","30","The Northside Preschool","N","152"," ","152"
"2013-2014","108","Danville City","30","The Northside Preschool","Y","<"," ","<"
"2013-2014","108","Danville City","1372","Westwood Middle","N","488"," ","488"
"2013-2014","108","Danville City","1372","Westwood Middle","Y","100"," ","100"
"2013-2014","108","Danville City","220","Woodberry Hills Elementary","N","319"," ","319"
"2013-2014","108","Danville City","220","Woodberry Hills Elementary","Y","58"," ","58"
"2013-2014","108","Danville City"," "," ","N","476"," ","476"
"2013-2014","108","Danville City"," "," ","Y","95"," ","95"
"2013-2014","26","Dickenson County","20","Clintwood Elementary","N","414"," ","414"
"2013-2014","26","Dickenson County","20","Clintwood Elementary","Y","67"," ","67"
"2013-2014","26","Dickenson County","271","Clintwood High","N","320"," ","320"
"2013-2014","26","Dickenson County","271","Clintwood High","Y","50"," ","50"
"2013-2014","26","Dickenson County","530","Ervinton Elementary","N","216"," ","216"
"2013-2014","26","Dickenson County","530","Ervinton Elementary","Y","39"," ","39"
"2013-2014","26","Dickenson County","120","Haysi High","N","330"," ","330"
"2013-2014","26","Dickenson County","120","Haysi High","Y","67"," ","67"
"2013-2014","26","Dickenson County","850","Longs Fork Elementary","N","249"," ","249"
"2013-2014","26","Dickenson County","850","Longs Fork Elementary","Y","46"," ","46"
"2013-2014","26","Dickenson County","860","Sandlick Elementary","N","476"," ","476"
"2013-2014","26","Dickenson County","860","Sandlick Elementary","Y","70"," ","70"
"2013-2014","27","Dinwiddie County","310","Dinwiddie Elementary","N","399"," ","399"
"2013-2014","27","Dinwiddie County","310","Dinwiddie Elementary","Y","<"," ","<"
"2013-2014","27","Dinwiddie County","500","Dinwiddie High","N","1,195"," ","1,195"
"2013-2014","27","Dinwiddie County","500","Dinwiddie High","Y","162"," ","162"
"2013-2014","27","Dinwiddie County","471","Dinwiddie Middle","N","928"," ","928"
"2013-2014","27","Dinwiddie County","471","Dinwiddie Middle","Y","112"," ","112"
"2013-2014","27","Dinwiddie County","250","Midway Elementary","N","360"," ","360"
"2013-2014","27","Dinwiddie County","10","Southside Elementary","N","381"," ","381"
"2013-2014","27","Dinwiddie County","10","Southside Elementary","Y","45"," ","45"
"2013-2014","27","Dinwiddie County","180","Sunnyside Elementary","N","200"," ","200"
"2013-2014","27","Dinwiddie County","180","Sunnyside Elementary","Y","49"," ","49"
"2013-2014","27","Dinwiddie County","520","Sutherland Elementary","N","535"," ","535"
"2013-2014","27","Dinwiddie County","520","Sutherland Elementary","Y","51"," ","51"
"2013-2014","28","Essex County","10","Essex High","N","411"," ","411"
"2013-2014","28","Essex County","10","Essex High","Y","61"," ","61"
"2013-2014","28","Essex County","150","Essex Intermediate","N","382"," ","382"
"2013-2014","28","Essex County","150","Essex Intermediate","Y","78"," ","78"
"2013-2014","28","Essex County","160","Tappahannock Elementary","N","538"," ","538"
"2013-2014","28","Essex County","160","Tappahannock Elementary","Y","83"," ","83"
"2013-2014","29","Fairfax County","2203","Aldrin Elementary","N","594"," ","594"
"2013-2014","29","Fairfax County","2203","Aldrin Elementary","Y","107"," ","107"
"2013-2014","29","Fairfax County","660","Annandale High","N","1,922"," ","1,922"
"2013-2014","29","Fairfax County","660","Annandale High","Y","390"," ","390"
"2013-2014","29","Fairfax County","1360","Annandale Terrace Elementary","N","646"," ","646"
"2013-2014","29","Fairfax County","1360","Annandale Terrace Elementary","Y","64"," ","64"
"2013-2014","29","Fairfax County","110","Archer Elementary","N","703"," ","703"
"2013-2014","29","Fairfax County","110","Archer Elementary","Y","58"," ","58"
"2013-2014","29","Fairfax County","1530","Armstrong Elementary","N","375"," ","375"
"2013-2014","29","Fairfax County","1530","Armstrong Elementary","Y","120"," ","120"
"2013-2014","29","Fairfax County","550","Bailey's Elementary School for the Arts and Sciences","N","1,154"," ","1,154"
"2013-2014","29","Fairfax County","550","Bailey's Elementary School for the Arts and Sciences","Y","176"," ","176"
"2013-2014","29","Fairfax County","1730","Beech Tree Elementary","N","313"," ","313"
"2013-2014","29","Fairfax County","1730","Beech Tree Elementary","Y","70"," ","70"
"2013-2014","29","Fairfax County","560","Belle View Elementary","N","423"," ","423"
"2013-2014","29","Fairfax County","560","Belle View Elementary","Y","120"," ","120"
"2013-2014","29","Fairfax County","720","Belvedere Elementary","N","572"," ","572"
"2013-2014","29","Fairfax County","720","Belvedere Elementary","Y","103"," ","103"
"2013-2014","29","Fairfax County","2000","Bonnie Brae Elementary","N","624"," ","624"
"2013-2014","29","Fairfax County","2000","Bonnie Brae Elementary","Y","77"," ","77"
"2013-2014","29","Fairfax County","1090","Braddock Elementary","N","725"," ","725"
"2013-2014","29","Fairfax County","1090","Braddock Elementary","Y","89"," ","89"
"2013-2014","29","Fairfax County","940","Bren Mar Park Elementary","N","426"," ","426"
"2013-2014","29","Fairfax County","940","Bren Mar Park Elementary","Y","76"," ","76"
"2013-2014","29","Fairfax County","1790","Brookfield Elementary","N","700"," ","700"
"2013-2014","29","Fairfax County","1790","Brookfield Elementary","Y","112"," ","112"
"2013-2014","29","Fairfax County","2201","Bryant Alternative High","N","305"," ","305"
"2013-2014","29","Fairfax County","2201","Bryant Alternative High","Y","41"," ","41"
"2013-2014","29","Fairfax County","700","Bucknell Elementary","N","211"," ","211"
"2013-2014","29","Fairfax County","700","Bucknell Elementary","Y","48"," ","48"
"2013-2014","29","Fairfax County","2225","Bull Run Elementary","N","755"," ","755"
"2013-2014","29","Fairfax County","2225","Bull Run Elementary","Y","101"," ","101"
"2013-2014","29","Fairfax County","680","Bush Hill Elementary","N","421"," ","421"
"2013-2014","29","Fairfax County","680","Bush Hill Elementary","Y","74"," ","74"
"2013-2014","29","Fairfax County","1940","Camelot Elementary","N","505"," ","505"
"2013-2014","29","Fairfax County","1940","Camelot Elementary","Y","95"," ","95"
"2013-2014","29","Fairfax County","620","Cameron Elementary","N","465"," ","465"
"2013-2014","29","Fairfax County","620","Cameron Elementary","Y","75"," ","75"
"2013-2014","29","Fairfax County","1590","Canterbury Woods Elementary","N","635"," ","635"
"2013-2014","29","Fairfax County","1590","Canterbury Woods Elementary","Y","98"," ","98"
"2013-2014","29","Fairfax County","1690","Cardinal Forest Elementary","N","505"," ","505"
"2013-2014","29","Fairfax County","1690","Cardinal Forest Elementary","Y","112"," ","112"
"2013-2014","29","Fairfax County","2222","Carson Middle","N","1,203"," ","1,203"
"2013-2014","29","Fairfax County","2222","Carson Middle","Y","141"," ","141"
"2013-2014","29","Fairfax County","2090","Centre Ridge Elementary","N","686"," ","686"
"2013-2014","29","Fairfax County","2090","Centre Ridge Elementary","Y","127"," ","127"
"2013-2014","29","Fairfax County","2205","Centreville Elementary","N","801"," ","801"
"2013-2014","29","Fairfax County","2205","Centreville Elementary","Y","105"," ","105"
"2013-2014","29","Fairfax County","200","Centreville High","N","2,127"," ","2,127"
"2013-2014","29","Fairfax County","200","Centreville High","Y","295","<","296"
"2013-2014","29","Fairfax County","131","Chantilly High","N","2,287"," ","2,287"
"2013-2014","29","Fairfax County","131","Chantilly High","Y","433"," ","433"
"2013-2014","29","Fairfax County","480","Cherry Run Elementary","N","384"," ","384"
"2013-2014","29","Fairfax County","480","Cherry Run Elementary","Y","116"," ","116"
"2013-2014","29","Fairfax County","100","Chesterbrook Elementary","N","616"," ","616"
"2013-2014","29","Fairfax County","100","Chesterbrook Elementary","Y","75"," ","75"
"2013-2014","29","Fairfax County","1050","Churchill Road Elementary","N","796"," ","796"
"2013-2014","29","Fairfax County","1050","Churchill Road Elementary","Y","72"," ","72"
"2013-2014","29","Fairfax County","260","Clearview Elementary","N","564"," ","564"
"2013-2014","29","Fairfax County","260","Clearview Elementary","Y","116"," ","116"
"2013-2014","29","Fairfax County","1870","Clermont Elementary","N","479"," ","479"
"2013-2014","29","Fairfax County","1870","Clermont Elementary","Y","51"," ","51"
"2013-2014","29","Fairfax County","2347","Coates Elementary","N","733"," ","733"
"2013-2014","29","Fairfax County","2347","Coates Elementary","Y","77"," ","77"
"2013-2014","29","Fairfax County","1510","Columbia Elementary","N","423"," ","423"
"2013-2014","29","Fairfax County","1510","Columbia Elementary","Y","57"," ","57"
"2013-2014","29","Fairfax County","2234","Colvin Run Elementary","N","801"," ","801"
"2013-2014","29","Fairfax County","2234","Colvin Run Elementary","Y","94"," ","94"
"2013-2014","29","Fairfax County","1190","Cooper Middle","N","651"," ","651"
"2013-2014","29","Fairfax County","1190","Cooper Middle","Y","102"," ","102"
"2013-2014","29","Fairfax County","870","Crestwood Elementary","N","592"," ","592"
"2013-2014","29","Fairfax County","870","Crestwood Elementary","Y","60"," ","60"
"2013-2014","29","Fairfax County","2020","Crossfield Elementary","N","596"," ","596"
"2013-2014","29","Fairfax County","2020","Crossfield Elementary","Y","103"," ","103"
"2013-2014","29","Fairfax County","1600","Cub Run Elementary","N","502"," ","502"
"2013-2014","29","Fairfax County","1600","Cub Run Elementary","Y","109"," ","109"
"2013-2014","29","Fairfax County","1700","Cunningham Park Elementary","N","418"," ","418"
"2013-2014","29","Fairfax County","1700","Cunningham Park Elementary","Y","66"," ","66"
"2013-2014","29","Fairfax County","2229","Daniels Run Elementary","N","684"," ","684"
"2013-2014","29","Fairfax County","2229","Daniels Run Elementary","Y","90"," ","90"
"2013-2014","29","Fairfax County","2204","Deer Park Elementary","N","568"," ","568"
"2013-2014","29","Fairfax County","2204","Deer Park Elementary","Y","107"," ","107"
"2013-2014","29","Fairfax County","220","Dogwood Elementary","N","743"," ","743"
"2013-2014","29","Fairfax County","220","Dogwood Elementary","Y","97"," ","97"
"2013-2014","29","Fairfax County","2010","Dranesville Elementary","N","643"," ","643"
"2013-2014","29","Fairfax County","2010","Dranesville Elementary","Y","114"," ","114"
"2013-2014","29","Fairfax County","2238","Dunn Loring E.C. Resource Ctr.","Y","250"," ","250"
"2013-2014","29","Fairfax County","2243","Eagle View Elementary","N","622"," ","622"
"2013-2014","29","Fairfax County","2243","Eagle View Elementary","Y","89"," ","89"
"2013-2014","29","Fairfax County","1270","Edison High","N","1,558"," ","1,558"
"2013-2014","29","Fairfax County","1270","Edison High","Y","251"," ","251"
"2013-2014","29","Fairfax County","190","Fairfax County Adult High","N","280"," ","280"
"2013-2014","29","Fairfax County","20","Fairfax High","N","2,334"," ","2,334"
"2013-2014","29","Fairfax County","20","Fairfax High","Y","325"," ","325"
"2013-2014","29","Fairfax County","1480","Fairfax Villa Elementary","N","488"," ","488"
"2013-2014","29","Fairfax County","1480","Fairfax Villa Elementary","Y","112"," ","112"
"2013-2014","29","Fairfax County","1630","Fairhill Elementary","N","526"," ","526"
"2013-2014","29","Fairfax County","1630","Fairhill Elementary","Y","60"," ","60"
"2013-2014","29","Fairfax County","290","Fairview Elementary","N","584"," ","584"
"2013-2014","29","Fairfax County","290","Fairview Elementary","Y","77"," ","77"
"2013-2014","29","Fairfax County","2430","Falls Church E.C. Resource Ctr.","Y","25"," ","25"
"2013-2014","29","Fairfax County","1100","Falls Church High","N","1,382"," ","1,382"
"2013-2014","29","Fairfax County","1100","Falls Church High","Y","321"," ","321"
"2013-2014","29","Fairfax County","730","Flint Hill Elementary","N","638"," ","638"
"2013-2014","29","Fairfax County","730","Flint Hill Elementary","Y","68"," ","68"
"2013-2014","29","Fairfax County","740","Floris Elementary","N","633"," ","633"
"2013-2014","29","Fairfax County","740","Floris Elementary","Y","71"," ","71"
"2013-2014","29","Fairfax County","70","Forest Edge Elementary","N","676"," ","676"
"2013-2014","29","Fairfax County","70","Forest Edge Elementary","Y","114"," ","114"
"2013-2014","29","Fairfax County","1450","Forestdale Elementary","N","483"," ","483"
"2013-2014","29","Fairfax County","1450","Forestdale Elementary","Y","111"," ","111"
"2013-2014","29","Fairfax County","370","Forestville Elementary","N","566"," ","566"
"2013-2014","29","Fairfax County","370","Forestville Elementary","Y","51"," ","51"
"2013-2014","29","Fairfax County","2224","Fort Belvoir Elementary","N","932"," ","932"
"2013-2014","29","Fairfax County","2224","Fort Belvoir Elementary","Y","181"," ","181"
"2013-2014","29","Fairfax County","1920","Fort Hunt Elementary","N","537"," ","537"
"2013-2014","29","Fairfax County","1920","Fort Hunt Elementary","Y","70"," ","70"
"2013-2014","29","Fairfax County","390","Fox Mill Elementary","N","565"," ","565"
"2013-2014","29","Fairfax County","390","Fox Mill Elementary","Y","67"," ","67"
"2013-2014","29","Fairfax County","320","Franconia Elementary","N","523"," ","523"
"2013-2014","29","Fairfax County","320","Franconia Elementary","Y","45"," ","45"
"2013-2014","29","Fairfax County","440","Franklin Middle","N","700"," ","700"
"2013-2014","29","Fairfax County","440","Franklin Middle","Y","158"," ","158"
"2013-2014","29","Fairfax County","490","Freedom Hill Elementary","N","531"," ","531"
"2013-2014","29","Fairfax County","490","Freedom Hill Elementary","Y","95"," ","95"
"2013-2014","29","Fairfax County","1410","Frost Middle","N","933"," ","933"
"2013-2014","29","Fairfax County","1410","Frost Middle","Y","174"," ","174"
"2013-2014","29","Fairfax County","630","Garfield Elementary","N","319"," ","319"
"2013-2014","29","Fairfax County","630","Garfield Elementary","Y","52"," ","52"
"2013-2014","29","Fairfax County","1170","Glasgow Middle","N","1,275"," ","1,275"
"2013-2014","29","Fairfax County","1170","Glasgow Middle","Y","252"," ","252"
"2013-2014","29","Fairfax County","970","Glen Forest Elementary","N","914"," ","914"
"2013-2014","29","Fairfax County","970","Glen Forest Elementary","Y","129"," ","129"
"2013-2014","29","Fairfax County","530","Graham Road Elementary","N","433"," ","433"
"2013-2014","29","Fairfax County","530","Graham Road Elementary","Y","59"," ","59"
"2013-2014","29","Fairfax County","570","Great Falls Elementary","N","508"," ","508"
"2013-2014","29","Fairfax County","570","Great Falls Elementary","Y","63"," ","63"
"2013-2014","29","Fairfax County","1840","Greenbriar East Elementary","N","866"," ","866"
"2013-2014","29","Fairfax County","1840","Greenbriar East Elementary","Y","142"," ","142"
"2013-2014","29","Fairfax County","1500","Greenbriar West Elementary","N","975"," ","975"
"2013-2014","29","Fairfax County","1500","Greenbriar West Elementary","Y","88"," ","88"
"2013-2014","29","Fairfax County","330","Groveton Elementary","N","690"," ","690"
"2013-2014","29","Fairfax County","330","Groveton Elementary","Y","100"," ","100"
"2013-2014","29","Fairfax County","690","Gunston Elementary","N","477"," ","477"
"2013-2014","29","Fairfax County","690","Gunston Elementary","Y","74"," ","74"
"2013-2014","29","Fairfax County","2210","Halley Elementary","N","594"," ","594"
"2013-2014","29","Fairfax County","2210","Halley Elementary","Y","131"," ","131"
"2013-2014","29","Fairfax County","750","Haycock Elementary","N","828"," ","828"
"2013-2014","29","Fairfax County","750","Haycock Elementary","Y","77"," ","77"
"2013-2014","29","Fairfax County","1740","Hayfield Elementary","N","618"," ","618"
"2013-2014","29","Fairfax County","1740","Hayfield Elementary","Y","59"," ","59"
"2013-2014","29","Fairfax County","1800","Hayfield Secondary","N","2,432"," ","2,432"
"2013-2014","29","Fairfax County","1800","Hayfield Secondary","Y","394"," ","394"
"2013-2014","29","Fairfax County","1250","Herndon Elementary","N","828"," ","828"
"2013-2014","29","Fairfax County","1250","Herndon Elementary","Y","90"," ","90"
"2013-2014","29","Fairfax County","32","Herndon High","N","1,866","<","1,868"
"2013-2014","29","Fairfax County","32","Herndon High","Y","362"," ","362"
"2013-2014","29","Fairfax County","33","Herndon Middle","N","779"," ","779"
"2013-2014","29","Fairfax County","33","Herndon Middle","Y","195"," ","195"
"2013-2014","29","Fairfax County","1330","Hollin Meadows Elementary","N","564"," ","564"
"2013-2014","29","Fairfax County","1330","Hollin Meadows Elementary","Y","79"," ","79"
"2013-2014","29","Fairfax County","1521","Holmes Middle","N","793"," ","793"
"2013-2014","29","Fairfax County","1521","Holmes Middle","Y","174"," ","174"
"2013-2014","29","Fairfax County","350","Hughes Middle","N","819"," ","819"
"2013-2014","29","Fairfax County","350","Hughes Middle","Y","188"," ","188"
"2013-2014","29","Fairfax County","1880","Hunt Valley Elementary","N","519"," ","519"
"2013-2014","29","Fairfax County","1880","Hunt Valley Elementary","Y","103"," ","103"
"2013-2014","29","Fairfax County","1950","Hunters Woods Elementary School for the Arts and Sciences","N","1,043"," ","1,043"
"2013-2014","29","Fairfax County","1950","Hunters Woods Elementary School for the Arts and Sciences","Y","73"," ","73"
"2013-2014","29","Fairfax County","1980","Hutchison Elementary","N","871"," ","871"
"2013-2014","29","Fairfax County","1980","Hutchison Elementary","Y","86"," ","86"
"2013-2014","29","Fairfax County","1420","Hybla Valley Elementary","N","851"," ","851"
"2013-2014","29","Fairfax County","1420","Hybla Valley Elementary","Y","81"," ","81"
"2013-2014","29","Fairfax County","1120","Irving Middle","N","864"," ","864"
"2013-2014","29","Fairfax County","1120","Irving Middle","Y","111"," ","111"
"2013-2014","29","Fairfax County","2235","Island Creek Elementary","N","603"," ","603"
"2013-2014","29","Fairfax County","2235","Island Creek Elementary","Y","142"," ","142"
"2013-2014","29","Fairfax County","673","Jackson Middle","N","1,070"," ","1,070"
"2013-2014","29","Fairfax County","673","Jackson Middle","Y","192"," ","192"
"2013-2014","29","Fairfax County","1240","Keene Mill Elementary","N","671"," ","671"
"2013-2014","29","Fairfax County","1240","Keene Mill Elementary","Y","51"," ","51"
"2013-2014","29","Fairfax County","980","Kent Gardens Elementary","N","846"," ","846"
"2013-2014","29","Fairfax County","980","Kent Gardens Elementary","Y","73"," ","73"
"2013-2014","29","Fairfax County","1901","Key Center","Y","108"," ","108"
"2013-2014","29","Fairfax County","1900","Key Middle","N","671"," ","671"
"2013-2014","29","Fairfax County","1900","Key Middle","Y","164"," ","164"
"2013-2014","29","Fairfax County","1761","Kilmer Center","Y","69"," ","69"
"2013-2014","29","Fairfax County","1760","Kilmer Middle","N","1,160"," ","1,160"
"2013-2014","29","Fairfax County","1760","Kilmer Middle","Y","135"," ","135"
"2013-2014","29","Fairfax County","1890","Kings Glen Elementary","N","388"," ","388"
"2013-2014","29","Fairfax County","1890","Kings Glen Elementary","Y","94"," ","94"
"2013-2014","29","Fairfax County","1440","Kings Park Elementary","N","587"," ","587"
"2013-2014","29","Fairfax County","1440","Kings Park Elementary","Y","92"," ","92"
"2013-2014","29","Fairfax County","1570","Lake Anne Elementary","N","595"," ","595"
"2013-2014","29","Fairfax County","1570","Lake Anne Elementary","Y","58"," ","58"
"2013-2014","29","Fairfax County","90","Lake Braddock Secondary","N","3,533","<","3,534"
"2013-2014","29","Fairfax County","90","Lake Braddock Secondary","Y","539"," ","539"
"2013-2014","29","Fairfax County","2209","Lane Elementary","N","684"," ","684"
"2013-2014","29","Fairfax County","2209","Lane Elementary","Y","106"," ","106"
"2013-2014","29","Fairfax County","1460","Langley High","N","1,804"," ","1,804"
"2013-2014","29","Fairfax County","1460","Langley High","Y","210"," ","210"
"2013-2014","29","Fairfax County","1110","Lanier Middle","N","1,010"," ","1,010"
"2013-2014","29","Fairfax County","1110","Lanier Middle","Y","157"," ","157"
"2013-2014","29","Fairfax County","2348","Laurel Hill Elementary","N","852"," ","852"
"2013-2014","29","Fairfax County","2348","Laurel Hill Elementary","Y","83"," ","83"
"2013-2014","29","Fairfax County","1970","Laurel Ridge Elementary","N","701"," ","701"
"2013-2014","29","Fairfax County","1970","Laurel Ridge Elementary","Y","117"," ","117"
"2013-2014","29","Fairfax County","1020","Lee High","N","1,509","<","1,510"
"2013-2014","29","Fairfax County","1020","Lee High","Y","273"," ","273"
"2013-2014","29","Fairfax County","1850","Lees Corner Elementary","N","638"," ","638"
"2013-2014","29","Fairfax County","1850","Lees Corner Elementary","Y","107"," ","107"
"2013-2014","29","Fairfax County","770","Lemon Road Elementary","N","445"," ","445"
"2013-2014","29","Fairfax County","770","Lemon Road Elementary","Y","37"," ","37"
"2013-2014","29","Fairfax County","2233","Liberty Middle","N","949"," ","949"
"2013-2014","29","Fairfax County","2233","Liberty Middle","Y","162"," ","162"
"2013-2014","29","Fairfax County","1400","Little Run Elementary","N","272"," ","272"
"2013-2014","29","Fairfax County","1400","Little Run Elementary","Y","79"," ","79"
"2013-2014","29","Fairfax County","1830","London Towne Elementary","N","776"," ","776"
"2013-2014","29","Fairfax County","1830","London Towne Elementary","Y","133"," ","133"
"2013-2014","29","Fairfax County","1150","Longfellow Middle","N","1,232"," ","1,232"
"2013-2014","29","Fairfax County","1150","Longfellow Middle","Y","102"," ","102"
"2013-2014","29","Fairfax County","2236","Lorton Station Elementary","N","931"," ","931"
"2013-2014","29","Fairfax County","2236","Lorton Station Elementary","Y","103"," ","103"
"2013-2014","29","Fairfax County","890","Lynbrook Elementary","N","535"," ","535"
"2013-2014","29","Fairfax County","890","Lynbrook Elementary","Y","101"," ","101"
"2013-2014","29","Fairfax County","1060","Madison High","N","1,736"," ","1,736"
"2013-2014","29","Fairfax County","1060","Madison High","Y","257"," ","257"
"2013-2014","29","Fairfax County","1210","Mantua Elementary","N","849"," ","849"
"2013-2014","29","Fairfax County","1210","Mantua Elementary","Y","118"," ","118"
"2013-2014","29","Fairfax County","1290","Marshall High","N","1,632","<","1,633"
"2013-2014","29","Fairfax County","1290","Marshall High","Y","212"," ","212"
"2013-2014","29","Fairfax County","1200","Marshall Road Elementary","N","596"," ","596"
"2013-2014","29","Fairfax County","1200","Marshall Road Elementary","Y","87"," ","87"
"2013-2014","29","Fairfax County","2410","Mason Crest Elementary","N","476"," ","476"
"2013-2014","29","Fairfax County","2410","Mason Crest Elementary","Y","93"," ","93"
"2013-2014","29","Fairfax County","790","McLean High","N","1,881"," ","1,881"
"2013-2014","29","Fairfax County","790","McLean High","Y","211","<","212"
"2013-2014","29","Fairfax County","2231","McNair Elementary","N","1,009"," ","1,009"
"2013-2014","29","Fairfax County","2231","McNair Elementary","Y","84"," ","84"
"2013-2014","29","Fairfax County","1390","Mosby Woods Elementary","N","866"," ","866"
"2013-2014","29","Fairfax County","1390","Mosby Woods Elementary","Y","99"," ","99"
"2013-2014","29","Fairfax County","510","Mount Eagle Elementary","N","330"," ","330"
"2013-2014","29","Fairfax County","510","Mount Eagle Elementary","Y","50"," ","50"
"2013-2014","29","Fairfax County","420","Mount Vernon High","N","1,647"," ","1,647"
"2013-2014","29","Fairfax County","420","Mount Vernon High","Y","372"," ","372"
"2013-2014","29","Fairfax County","1640","Mount Vernon Woods Elementary","N","599"," ","599"
"2013-2014","29","Fairfax County","1640","Mount Vernon Woods Elementary","Y","81"," ","81"
"2013-2014","29","Fairfax County","2211","Mountain View Alternative High","N","200"," ","200"
"2013-2014","29","Fairfax County","2211","Mountain View Alternative High","Y","31"," ","31"
