"School Year","Division Number","Division Name","English Learners include Former ELs","Grade PK","Grade KG","Grade 1","Grade 2","Grade 3","Grade 4","Grade 5","Grade 6","Grade 7","Grade 8","Grade 9","Grade 10","Grade 11","Grade 12","Full Time Count (All Grades)","Part Time Count (All Grades)","Total Count"
"2021-2022","79","Richmond County","Y"," ","11","11","12","<","10","12","<","<","11","10","<","<","<","108"," ","108"
"2021-2022","124","Roanoke City","N","541","893","907","911","865","881","825","831","784","896","1,085","860","778","738","11,795","21","11,816"
"2021-2022","124","Roanoke City","Y"," ","152","179","156","179","167","195","160","164","148","155","96","97","58","1,906"," ","1,906"
"2021-2022","80","Roanoke County","N","364","883","856","814","932","857","918","1,013","1,014","1,097","1,238","1,150","1,040","976","13,152"," ","13,152"
"2021-2022","80","Roanoke County","Y"," ","51","48","46","59","66","53","66","57","49","29","20","17","18","579"," ","579"
"2021-2022","81","Rockbridge County","N","91","155","136","162","172","149","140","164","188","201","273","237","278","232","2,578","<","2,582"
"2021-2022","81","Rockbridge County","Y"," ","<","<","<","<","<","<","<","<","<","<","<","<","<","52"," ","52"
"2021-2022","82","Rockingham County","N","394","649","625","655","615","644","679","695","753","735","897","856","850","822","9,869","21","9,890"
"2021-2022","82","Rockingham County","Y"," ","118","124","159","140","142","121","134","126","111","75","66","51","53","1,420"," ","1,420"
"2021-2022","83","Russell County","N","185","250","243","231","230","232","228","228","247","295","278","277","287","225","3,436"," ","3,436"
"2021-2022","83","Russell County","Y"," ","<","<","<","<","<","<","<","<","<","<"," ","<","<","20"," ","20"
"2021-2022","139","Salem City","N","82","225","233","264","248","258","257","246","305","265","316","302","295","263","3,559"," ","3,559"
"2021-2022","139","Salem City","Y"," ","10","15","12","19","15","25","18","26","27","17","22","22","12","240"," ","240"
"2021-2022","84","Scott County","N","200","249","241","242","238","263","238","275","279","276","285","262","246","236","3,530","<","3,532"
"2021-2022","84","Scott County","Y"," "," "," "," ","<","<"," ","<"," ","<"," "," ","<"," ","<"," ","<"
"2021-2022","85","Shenandoah County","N","168","345","318","330","351","365","349","358","387","439","473","408","384","421","5,096"," ","5,096"
"2021-2022","85","Shenandoah County","Y"," ","60","54","48","64","52","50","48","42","56","49","20","17","23","583"," ","583"
"2021-2022","86","Smyth County","N","131","276","283","270","277","276","297","283","292","317","374","324","303","293","3,996"," ","3,996"
"2021-2022","86","Smyth County","Y","<","<","<","<","<","<","11","<","<","<","<","<","<","<","56"," ","56"
"2021-2022","87","Southampton County","N","116","158","189","187","204","170","174","208","191","246","211","175","181","181","2,591"," ","2,591"
"2021-2022","87","Southampton County","Y"," "," ","<","<"," ","<","<"," "," ","<"," "," "," ","<","<"," ","<"
"2021-2022","88","Spotsylvania County","N","441","1,411","1,313","1,465","1,399","1,447","1,584","1,588","1,660","1,865","2,099","1,820","1,784","1,775","21,651","12","21,663"
