"School Year","Division Number","Division Name","Full Time Count (All Grades)","Part Time Count (All Grades)","Total Count"
"2011-2012","38","Grayson County","1,864"," ","1,864"
"2011-2012","39","Greene County","3,014","6","3,020"
"2011-2012","40","Greensville County","2,612"," ","2,612"
"2011-2012","41","Halifax County","5,840"," ","5,840"
"2011-2012","112","Hampton City","21,588"," ","21,588"
"2011-2012","42","Hanover County","18,531"," ","18,531"
"2011-2012","113","Harrisonburg City","5,051"," ","5,051"
"2011-2012","43","Henrico County","49,654"," ","49,654"
"2011-2012","44","Henry County","7,463"," ","7,463"
"2011-2012","45","Highland County","217"," ","217"
"2011-2012","114","Hopewell City","4,284"," ","4,284"
"2011-2012","46","Isle of Wight County","5,519"," ","5,519"
"2011-2012","48","King George County","4,176","1","4,177"
"2011-2012","50","King William County","2,252"," ","2,252"
"2011-2012","49","King and Queen County","757"," ","757"
"2011-2012","51","Lancaster County","1,300"," ","1,300"
"2011-2012","52","Lee County","3,594"," ","3,594"
"2011-2012","137","Lexington City","521"," ","521"
"2011-2012","53","Loudoun County","65,585","35","65,620"
"2011-2012","54","Louisa County","4,706"," ","4,706"
"2011-2012","55","Lunenburg County","1,637"," ","1,637"
"2011-2012","115","Lynchburg City","8,688"," ","8,688"
"2011-2012","56","Madison County","1,847"," ","1,847"
"2011-2012","143","Manassas City","7,154"," ","7,154"
"2011-2012","144","Manassas Park City","3,019"," ","3,019"
"2011-2012","116","Martinsville City","2,317"," ","2,317"
"2011-2012","57","Mathews County","1,187"," ","1,187"
"2011-2012","58","Mecklenburg County","4,791"," ","4,791"
"2011-2012","59","Middlesex County","1,226","2","1,228"
"2011-2012","60","Montgomery County","9,610"," ","9,610"
"2011-2012","62","Nelson County","1,983","1","1,984"
"2011-2012","63","New Kent County","2,938","1","2,939"
"2011-2012","117","Newport News City","29,948"," ","29,948"
"2011-2012","118","Norfolk City","33,461"," ","33,461"
"2011-2012","65","Northampton County","1,809"," ","1,809"
"2011-2012","66","Northumberland County","1,494"," ","1,494"
"2011-2012","119","Norton City","904"," ","904"
"2011-2012","67","Nottoway County","2,357"," ","2,357"
"2011-2012","68","Orange County","5,239"," ","5,239"
"2011-2012","69","Page County","3,669","2","3,671"
"2011-2012","70","Patrick County","2,570"," ","2,570"
"2011-2012","120","Petersburg City","4,534"," ","4,534"
"2011-2012","71","Pittsylvania County","9,245","2","9,247"
"2011-2012","142","Poquoson City","2,232","23","2,255"
"2011-2012","121","Portsmouth City","15,261"," ","15,261"
"2011-2012","72","Powhatan County","4,436","6","4,442"
"2011-2012","73","Prince Edward County","2,407"," ","2,407"
"2011-2012","74","Prince George County","6,438"," ","6,438"
"2011-2012","75","Prince William County","81,937","18","81,955"
"2011-2012","77","Pulaski County","4,590"," ","4,590"
"2011-2012","122","Radford City","1,573"," ","1,573"
"2011-2012","78","Rappahannock County","898","2","900"
"2011-2012","123","Richmond City","23,336"," ","23,336"
"2011-2012","79","Richmond County","1,177"," ","1,177"
"2011-2012","124","Roanoke City","13,094","10","13,104"
"2011-2012","80","Roanoke County","14,454"," ","14,454"
"2011-2012","81","Rockbridge County","2,796"," ","2,796"
"2011-2012","82","Rockingham County","11,802","16","11,818"
"2011-2012","83","Russell County","4,430"," ","4,430"
"2011-2012","139","Salem City","3,916"," ","3,916"
"2011-2012","84","Scott County","3,922"," ","3,922"
"2011-2012","85","Shenandoah County","6,177","6","6,183"
"2011-2012","86","Smyth County","4,810"," ","4,810"
"2011-2012","87","Southampton County","2,880"," ","2,880"
"2011-2012","88","Spotsylvania County","23,817"," ","23,817"
"2011-2012","89","Stafford County","27,333","17","27,350"
"2011-2012","126","Staunton City","2,681"," ","2,681"
"2011-2012","127","Suffolk City","14,420"," ","14,420"
"2011-2012","90","Surry County","928"," ","928"
"2011-2012","91","Sussex County","1,153"," ","1,153"
"2011-2012","92","Tazewell County","6,552","1","6,553"
"2011-2012","128","Virginia Beach City","70,978"," ","70,978"
"2011-2012","93","Warren County","5,442","5","5,447"
"2011-2012","94","Washington County","7,383","3","7,386"
"2011-2012","130","Waynesboro City","3,274"," ","3,274"
"2011-2012","207","West Point","762"," ","762"
"2011-2012","95","Westmoreland County","1,726"," ","1,726"
"2011-2012","131","Williamsburg-James City County","10,975"," ","10,975"
"2011-2012","132","Winchester City","4,103","2","4,105"
"2011-2012","96","Wise County","6,246","3","6,249"
"2011-2012","97","Wythe County","4,401","2","4,403"
"2011-2012","98","York County","12,547"," ","12,547"
"2012-2013","1","Accomack County","5,131"," ","5,131"
"2012-2013","2","Albemarle County","13,263","14","13,277"
"2012-2013","101","Alexandria City","13,105","141","13,246"
"2012-2013","3","Alleghany County","2,634"," ","2,634"
"2012-2013","4","Amelia County","1,786"," ","1,786"
"2012-2013","5","Amherst County","4,442"," ","4,442"
"2012-2013","6","Appomattox County","2,294"," ","2,294"
"2012-2013","7","Arlington County","22,543","1","22,544"
"2012-2013","8","Augusta County","10,755"," ","10,755"
"2012-2013","9","Bath County","647"," ","647"
"2012-2013","10","Bedford County","10,513"," ","10,513"
"2012-2013","11","Bland County","891"," ","891"
"2012-2013","12","Botetourt County","4,962"," ","4,962"
"2012-2013","102","Bristol City","2,360"," ","2,360"
"2012-2013","13","Brunswick County","1,976"," ","1,976"
"2012-2013","14","Buchanan County","3,281"," ","3,281"
